System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:56:462, 158808576373476,    0.112,   51.000, 3000,  44.738,   5.001,   1.389,  25.546,   2.856,   0.793, 90,  0,   3.587,   0.401,   0.111,   6.647,   0.743,   0.206,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:56:584, 158808844975269,    0.233,   60.000, 3000,  45.920,  10.587,   2.941,  26.266,   6.051,   1.681, 92,  0,   3.953,   0.882,   0.245,   6.917,   1.584,   0.440,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:56:708, 158809117727184,    0.357,   41.000, 3000,  43.112,  15.913,   4.420,  23.859,   8.998,   2.500, 90,  0,   3.756,   1.346,   0.374,   6.914,   2.439,   0.677,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:56:895, 158809530821514,    0.544,   79.000, 2900,  45.768,  24.476,   6.799,  26.607,  13.976,   3.882, 90,  0,   3.634,   2.026,   0.563,   6.701,   3.692,   1.026,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:57:003, 158809770802733,    0.653,   48.000, 3000,  43.069,  29.157,   8.099,  23.829,  16.566,   4.602, 90,  0,   3.630,   2.420,   0.672,   6.650,   4.415,   1.226,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:57:112, 158810009825186,    0.761,   51.000, 3000,  44.042,  33.924,   9.423,  24.783,  19.249,   5.347, 90,  0,   3.694,   2.820,   0.783,   6.859,   5.157,   1.433,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:57:220, 158810248568069,    0.869,   54.000, 3000,  44.614,  38.748,  10.763,  25.284,  21.983,   6.106, 90,  0,   3.704,   3.221,   0.895,   6.860,   5.899,   1.639,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:57:342, 158810518269492,    0.991,   52.000, 3000,  44.764,  44.216,  12.282,  25.366,  25.081,   6.967, 90,  0,   3.776,   3.682,   1.023,   6.930,   6.746,   1.874,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:57:465, 158810789309200,    1.114,   55.000, 3000,  44.952,  49.734,  13.815,  25.345,  28.192,   7.831, 90,  0,   3.752,   4.142,   1.151,   6.937,   7.597,   2.110,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:57:574, 158811030222911,    1.223,   50.000, 3000,  43.909,  54.525,  15.146,  24.557,  30.872,   8.575, 90,  0,   3.675,   4.543,   1.262,   6.895,   8.349,   2.319,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:57:697, 158811303095788,    1.347,   42.000, 3100,  42.420,  59.767,  16.602,  23.453,  33.770,   9.381, 88,  0,   3.399,   4.963,   1.379,   6.453,   9.147,   2.541,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:57:698, 158811305733425,    1.348,   26.000, 3100,  36.174,  59.811,  16.614,  25.087,  33.800,   9.389, 88,  0,   2.146,   4.966,   1.379,   5.058,   9.153,   2.542,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.347908
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 59.810608
Cumulative Processor Energy_0 (mWh) = 16.614058
Average Processor Power_0 (Watt) = 44.372920

Cumulative IA Energy_0 (Joules) = 33.799988
Cumulative IA Energy_0 (mWh) = 9.388885
Average IA Power_0 (Watt) = 25.075889

Cumulative DRAM Energy_0 (Joules) = 4.965942
Cumulative DRAM Energy_0 (mWh) = 1.379428
Average DRAM Power_0 (Watt) = 3.684185

Cumulative GT Energy_0 (Joules) = 9.152954
Cumulative GT Energy_0 (mWh) = 2.542487
Average GT Power_0 (Watt) = 6.790489
