System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:45:596, 158784582688261,    0.112,   55.000, 3000,  45.588,   5.120,   1.422,  26.535,   2.980,   0.828, 90,  0,   3.708,   0.416,   0.116,   6.657,   0.748,   0.208,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:45:718, 158784852252646,    0.234,   53.000, 3000,  44.412,  10.542,   2.928,  24.944,   6.025,   1.674, 90,  0,   3.741,   0.873,   0.243,   6.994,   1.602,   0.445,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:45:841, 158785124698481,    0.358,   48.000, 3000,  43.830,  15.950,   4.430,  24.169,   9.007,   2.502, 90,  0,   3.692,   1.329,   0.369,   6.917,   2.455,   0.682,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:45:964, 158785394647948,    0.480,   54.000, 3000,  44.388,  21.377,   5.938,  25.309,  12.102,   3.362, 93,  0,   3.594,   1.768,   0.491,   6.723,   3.277,   0.910,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:46:088, 158785669535532,    0.605,   45.000, 3000,  46.755,  27.197,   7.555,  27.685,  15.548,   4.319, 91,  0,   3.763,   2.237,   0.621,   6.728,   4.115,   1.143,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:46:287, 158786108240324,    0.803,  101.000, 2900,  45.790,  36.295,  10.082,  26.474,  20.808,   5.780, 91,  0,   3.710,   2.974,   0.826,   6.725,   5.451,   1.514,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:46:396, 158786349232770,    0.912,   50.000, 2900,  42.681,  40.954,  11.376,  23.253,  23.346,   6.485, 90,  0,   3.782,   3.386,   0.941,   6.924,   6.206,   1.724,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:46:536, 158786658762562,    1.053,   56.000, 3000,  43.996,  47.121,  13.089,  24.595,  26.794,   7.443, 91,  0,   3.756,   3.913,   1.087,   6.948,   7.180,   1.995,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:46:656, 158786923182971,    1.172,   79.000, 2900,  48.435,  52.922,  14.700,  28.985,  30.265,   8.407, 93,  0,   4.068,   4.400,   1.222,   6.678,   7.980,   2.217,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:46:780, 158787197393360,    1.296,   65.000, 2900,  44.130,  58.402,  16.223,  25.056,  33.377,   9.271, 89,  0,   3.813,   4.874,   1.354,   6.576,   8.797,   2.444,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:46:903, 158787469894814,    1.420,   48.000, 3000,  40.567,  63.409,  17.613,  21.294,  36.005,  10.001, 87,  0,   3.466,   5.301,   1.473,   6.665,   9.619,   2.672,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:46:910, 158787486000875,    1.427,   23.000, 3000,  37.302,  63.681,  17.689,  22.207,  36.167,  10.046, 89,  0,   2.134,   5.317,   1.477,   5.288,   9.658,   2.683,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.427203
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 63.680664
Cumulative Processor Energy_0 (mWh) = 17.689073
Average Processor Power_0 (Watt) = 44.619209

Cumulative IA Energy_0 (Joules) = 36.166992
Cumulative IA Energy_0 (mWh) = 10.046387
Average IA Power_0 (Watt) = 25.341171

Cumulative DRAM Energy_0 (Joules) = 5.316895
Cumulative DRAM Energy_0 (mWh) = 1.476915
Average DRAM Power_0 (Watt) = 3.725395

Cumulative GT Energy_0 (Joules) = 9.657959
Cumulative GT Energy_0 (mWh) = 2.682766
Average GT Power_0 (Watt) = 6.767054
