System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:47:213, 158788154143280,    0.110,   46.000, 3100,  46.733,   5.141,   1.428,  27.912,   3.070,   0.853, 90,  0,   3.417,   0.376,   0.104,   6.436,   0.708,   0.197,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:47:352, 158788460576024,    0.249,   64.000, 3000,  46.607,  11.609,   3.225,  26.938,   6.809,   1.891, 92,  0,   3.814,   0.905,   0.251,   7.030,   1.684,   0.468,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:47:459, 158788695668562,    0.355,   51.000, 3000,  44.506,  16.347,   4.541,  25.244,   9.497,   2.638, 91,  0,   3.731,   1.302,   0.362,   6.877,   2.416,   0.671,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:47:584, 158788971531128,    0.480,   53.000, 3000,  44.845,  21.950,   6.097,  25.375,  12.667,   3.519, 89,  0,   3.840,   1.782,   0.495,   6.894,   3.277,   0.910,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:47:710, 158789250391437,    0.606,   62.000, 3000,  45.749,  27.728,   7.702,  26.430,  16.005,   4.446, 92,  0,   3.830,   2.266,   0.629,   6.856,   4.143,   1.151,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:47:817, 158789486525460,    0.713,   48.000, 3000,  44.194,  32.454,   9.015,  24.732,  18.650,   5.180, 90,  0,   3.708,   2.662,   0.740,   6.960,   4.887,   1.358,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:47:938, 158789753769123,    0.834,   78.000, 2900,  47.666,  38.224,  10.618,  28.653,  22.118,   6.144, 96,  0,   3.778,   3.120,   0.867,   6.513,   5.676,   1.577,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:48:061, 158790026587493,    0.958,   50.000, 3000,  43.143,  43.554,  12.098,  23.988,  25.082,   6.967, 91,  0,   3.605,   3.565,   0.990,   6.525,   6.482,   1.801,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:48:184, 158790296614224,    1.080,   49.000, 3000,  43.312,  48.851,  13.570,  24.061,  28.024,   7.785, 89,  0,   3.637,   4.010,   1.114,   6.847,   7.319,   2.033,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:48:308, 158790572483063,    1.205,   46.000, 3000,  43.969,  54.345,  15.096,  24.565,  31.093,   8.637, 88,  0,   3.676,   4.469,   1.241,   6.921,   8.184,   2.273,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:48:431, 158790843076856,    1.328,   47.000, 3100,  42.331,  59.532,  16.537,  23.004,  33.913,   9.420, 88,  0,   3.524,   4.901,   1.361,   6.725,   9.008,   2.502,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:48:431, 158790844789039,    1.329,   25.000, 3100,   0.000,  59.532,  16.537,  27.234,  33.934,   9.426, 88,  0,   0.000,   4.901,   1.361,   5.274,   9.012,   2.503,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.328584
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 59.532410
Cumulative Processor Energy_0 (mWh) = 16.536780
Average Processor Power_0 (Watt) = 44.808932

Cumulative IA Energy_0 (Joules) = 33.933716
Cumulative IA Energy_0 (mWh) = 9.426032
Average IA Power_0 (Watt) = 25.541273

Cumulative DRAM Energy_0 (Joules) = 4.901062
Cumulative DRAM Energy_0 (mWh) = 1.361406
Average DRAM Power_0 (Watt) = 3.688938

Cumulative GT Energy_0 (Joules) = 9.012146
Cumulative GT Energy_0 (mWh) = 2.503374
Average GT Power_0 (Watt) = 6.783274
