System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:48:737, 158791518622413,    0.102,   61.000, 3100,  51.388,   5.252,   1.459,  32.604,   3.332,   0.926, 94,  0,   3.597,   0.368,   0.102,   6.422,   0.656,   0.182,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:48:861, 158791791652129,    0.226,   56.000, 3000,  46.624,  11.017,   3.060,  27.436,   6.725,   1.868, 91,  0,   3.720,   0.828,   0.230,   6.540,   1.465,   0.407,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:48:971, 158792034594661,    0.336,   60.000, 3000,  45.709,  16.046,   4.457,  26.436,   9.633,   2.676, 93,  0,   3.793,   1.245,   0.346,   6.742,   2.207,   0.613,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:49:095, 158792308571647,    0.460,   77.000, 2900,  47.424,  21.931,   6.092,  28.144,  13.126,   3.646, 95,  0,   3.870,   1.725,   0.479,   6.704,   3.039,   0.844,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:49:205, 158792551071819,    0.570,   69.000, 2900,  44.889,  26.861,   7.461,  25.638,  15.941,   4.428, 94,  0,   3.909,   2.154,   0.598,   6.627,   3.766,   1.046,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:49:373, 158792922549194,    0.738,   74.000, 2900,  46.237,  34.640,   9.622,  27.536,  20.574,   5.715, 93,  0,   3.676,   2.773,   0.770,   6.288,   4.824,   1.340,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:49:497, 158793197994111,    0.863,   63.000, 3300,  47.833,  40.607,  11.280,  28.468,  24.125,   6.701, 94,  0,   3.799,   3.247,   0.902,   6.754,   5.667,   1.574,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:49:607, 158793438993089,    0.972,   52.000, 3100,  51.462,  46.224,  12.840,  32.160,  27.636,   7.677, 93,  0,   3.937,   3.677,   1.021,   6.771,   6.406,   1.779,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:49:745, 158793744973948,    1.111,   63.000, 2300,  45.378,  52.512,  14.587,  25.864,  31.220,   8.672, 90,  0,   3.768,   4.199,   1.166,   6.777,   7.345,   2.040,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:49:886, 158794054706603,    1.251,   61.000, 2600,  37.095,  57.716,  16.032,  17.935,  33.736,   9.371, 88,  0,   3.654,   4.711,   1.309,   6.773,   8.295,   2.304,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:50:009, 158794326954451,    1.374,   59.000, 2800,  39.569,  62.594,  17.387,  20.584,  36.273,  10.076, 88,  0,   3.624,   5.158,   1.433,   6.661,   9.116,   2.532,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:50:016, 158794342488161,    1.381,   28.000, 2800,  41.826,  62.889,  17.469,  22.305,  36.430,  10.120, 88,  0,   3.652,   5.184,   1.440,   6.533,   9.162,   2.545,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.381114
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 62.888672
Cumulative Processor Energy_0 (mWh) = 17.469076
Average Processor Power_0 (Watt) = 45.534759

Cumulative IA Energy_0 (Joules) = 36.430420
Cumulative IA Energy_0 (mWh) = 10.119561
Average IA Power_0 (Watt) = 26.377571

Cumulative DRAM Energy_0 (Joules) = 5.183899
Cumulative DRAM Energy_0 (mWh) = 1.439972
Average DRAM Power_0 (Watt) = 3.753420

Cumulative GT Energy_0 (Joules) = 9.162415
Cumulative GT Energy_0 (mWh) = 2.545115
Average GT Power_0 (Watt) = 6.634078
