System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:50:287, 158794940208847,    0.111,   59.000, 2900,  43.534,   4.831,   1.342,  24.726,   2.744,   0.762, 89,  0,   3.485,   0.387,   0.107,   6.370,   0.707,   0.196,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:50:395, 158795178938091,    0.219,   56.000, 3000,  44.763,   9.670,   2.686,  25.522,   5.503,   1.529, 90,  0,   3.734,   0.790,   0.220,   6.762,   1.438,   0.399,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:50:502, 158795415416653,    0.326,   54.000, 3000,  44.823,  14.471,   4.020,  25.622,   8.247,   2.291, 89,  0,   3.722,   1.189,   0.330,   6.763,   2.162,   0.601,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:50:625, 158795686332549,    0.449,   56.000, 3000,  45.513,  20.055,   5.571,  26.102,  11.450,   3.181, 91,  0,   3.934,   1.672,   0.464,   6.691,   2.983,   0.829,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:50:747, 158795957782527,    0.572,   84.000, 2900,  47.720,  25.922,   7.201,  28.653,  14.972,   4.159, 92,  0,   3.826,   2.142,   0.595,   6.495,   3.782,   1.050,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:50:858, 158796200672380,    0.682,   51.000, 2900,  42.350,  30.581,   8.495,  23.308,  17.536,   4.871, 91,  0,   3.652,   2.544,   0.707,   6.567,   4.504,   1.251,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:50:980, 158796470807869,    0.804,   59.000, 3000,  44.823,  36.064,  10.018,  25.574,  20.665,   5.740, 91,  0,   3.843,   3.014,   0.837,   6.836,   5.340,   1.483,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:51:103, 158796741646951,    0.927,   64.000, 2900,  44.719,  41.550,  11.542,  25.305,  23.769,   6.603, 91,  0,   3.784,   3.478,   0.966,   6.751,   6.169,   1.713,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:51:225, 158797011286252,    1.049,   62.000, 2900,  45.057,  47.052,  13.070,  25.910,  26.933,   7.481, 90,  0,   3.905,   3.955,   1.099,   6.561,   6.970,   1.936,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:51:364, 158797319798231,    1.189,   71.000, 2900,  45.023,  53.343,  14.817,  25.821,  30.541,   8.484, 89,  0,   3.836,   4.491,   1.248,   6.580,   7.889,   2.191,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:51:487, 158797589564896,    1.311,   57.000, 2900,  44.164,  58.738,  16.316,  24.917,  33.585,   9.329, 89,  0,   3.695,   4.943,   1.373,   6.786,   8.718,   2.422,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:51:610, 158797861521400,    1.434,   37.000, 3000,  38.866,  63.526,  17.646,  20.106,  36.062,  10.017, 87,  0,   3.169,   5.333,   1.481,   6.487,   9.517,   2.644,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:51:611, 158797863538897,    1.435,   24.000, 3000,  38.409,  63.561,  17.656,  23.112,  36.083,  10.023, 87,  0,   1.937,   5.335,   1.482,   5.143,   9.522,   2.645,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.434928
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 63.560669
Cumulative Processor Energy_0 (mWh) = 17.655741
Average Processor Power_0 (Watt) = 44.295357

Cumulative IA Energy_0 (Joules) = 36.083008
Cumulative IA Energy_0 (mWh) = 10.023058
Average IA Power_0 (Watt) = 25.146207

Cumulative DRAM Energy_0 (Joules) = 5.334595
Cumulative DRAM Energy_0 (mWh) = 1.481832
Average DRAM Power_0 (Watt) = 3.717673

Cumulative GT Energy_0 (Joules) = 9.521912
Cumulative GT Energy_0 (mWh) = 2.644975
Average GT Power_0 (Watt) = 6.635809
