System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:51:871, 158798437955004,    0.107,   49.000, 3100,  47.314,   5.049,   1.402,  28.398,   3.030,   0.842, 90,  0,   3.494,   0.373,   0.104,   6.786,   0.724,   0.201,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:51:996, 158798714104851,    0.232,   70.000, 3000,  48.634,  11.131,   3.092,  29.594,   6.731,   1.870, 97,  0,   3.747,   0.842,   0.234,   6.594,   1.549,   0.430,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:52:122, 158798992470449,    0.358,   59.000, 3000,  46.383,  16.979,   4.716,  27.352,  10.180,   2.828, 92,  0,   3.660,   1.303,   0.362,   6.494,   2.367,   0.658,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:52:245, 158799263884986,    0.481,   54.000, 3000,  44.943,  22.503,   6.251,  25.695,  13.338,   3.705, 92,  0,   3.643,   1.751,   0.486,   6.750,   3.197,   0.888,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:52:353, 158799502355951,    0.589,   47.000, 3000,  43.797,  27.234,   7.565,  24.363,  15.969,   4.436, 90,  0,   3.700,   2.150,   0.597,   6.955,   3.948,   1.097,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:52:475, 158799771194313,    0.711,   47.000, 3000,  43.785,  32.565,   9.046,  24.262,  18.923,   5.257, 89,  0,   3.659,   2.596,   0.721,   6.919,   4.791,   1.331,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:52:598, 158800042977253,    0.834,   56.000, 3000,  44.939,  38.096,  10.582,  25.562,  22.070,   6.130, 91,  0,   3.799,   3.064,   0.851,   6.871,   5.637,   1.566,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:52:721, 158800314280401,    0.956,   52.000, 3000,  44.687,  43.587,  12.108,  25.111,  25.155,   6.988, 90,  0,   3.754,   3.525,   0.979,   6.961,   6.492,   1.803,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:52:830, 158800555216690,    1.066,   49.000, 3000,  43.636,  48.349,  13.430,  24.322,  27.809,   7.725, 89,  0,   3.657,   3.924,   1.090,   6.877,   7.242,   2.012,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:52:937, 158800792195584,    1.173,   44.000, 3100,  45.163,  53.196,  14.777,  25.871,  30.586,   8.496, 90,  0,   3.671,   4.318,   1.199,   6.963,   7.990,   2.219,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:53:062, 158801068135195,    1.298,   45.000, 3100,  43.691,  58.656,  16.293,  24.232,  33.614,   9.337, 89,  0,   3.591,   4.767,   1.324,   6.894,   8.851,   2.459,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:53:062, 158801070280993,    1.299,   28.000, 3100,  38.185,  58.693,  16.304,  20.286,  33.634,   9.343, 89,  0,   4.145,   4.771,   1.325,   8.039,   8.859,   2.461,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.298878
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 58.692993
Cumulative Processor Energy_0 (mWh) = 16.303609
Average Processor Power_0 (Watt) = 45.187452

Cumulative IA Energy_0 (Joules) = 33.634033
Cumulative IA Energy_0 (mWh) = 9.342787
Average IA Power_0 (Watt) = 25.894680

Cumulative DRAM Energy_0 (Joules) = 4.770691
Cumulative DRAM Energy_0 (mWh) = 1.325192
Average DRAM Power_0 (Watt) = 3.672932

Cumulative GT Energy_0 (Joules) = 8.858887
Cumulative GT Energy_0 (mWh) = 2.460802
Average GT Power_0 (Watt) = 6.820414
