System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:34:54:845, 158805004850727,    0.126,   63.000, 2900,  44.098,   5.554,   1.543,  25.107,   3.162,   0.878, 90,  0,   3.502,   0.441,   0.123,   6.556,   0.826,   0.229,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:54:952, 158805241414926,    0.233,   82.000, 2900,  47.883,  10.684,   2.968,  28.306,   6.195,   1.721, 92,  0,   4.006,   0.870,   0.242,   6.627,   1.536,   0.427,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:55:078, 158805519412971,    0.359,   54.000, 2900,  42.753,  16.067,   4.463,  24.341,   9.259,   2.572, 89,  0,   3.429,   1.302,   0.362,   6.353,   2.336,   0.649,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:55:202, 158805792733357,    0.483,   58.000, 2900,  43.784,  21.487,   5.969,  24.517,  12.294,   3.415, 89,  0,   3.594,   1.747,   0.485,   6.714,   3.167,   0.880,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:55:326, 158806067225021,    0.607,   51.000, 3000,  43.931,  26.948,   7.486,  24.519,  15.342,   4.262, 90,  0,   3.571,   2.191,   0.609,   6.713,   4.001,   1.111,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:55:449, 158806339399884,    0.730,   55.000, 3000,  44.727,  32.461,   9.017,  25.461,  18.481,   5.134, 90,  0,   3.766,   2.655,   0.738,   6.835,   4.844,   1.345,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:55:570, 158806605749824,    0.851,   54.000, 3000,  44.470,  37.826,  10.507,  25.489,  21.556,   5.988, 90,  0,   3.761,   3.109,   0.864,   6.681,   5.650,   1.569,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:55:691, 158806873888601,    0.972,   58.000, 3000,  45.881,  43.398,  12.055,  26.028,  24.717,   6.866, 90,  0,   3.998,   3.594,   0.998,   7.005,   6.500,   1.806,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:55:814, 158807144474361,    1.095,   57.000, 3000,  45.187,  48.935,  13.593,  25.840,  27.883,   7.745, 91,  0,   3.757,   4.055,   1.126,   6.951,   7.352,   2.042,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:55:923, 158807386723111,    1.205,   46.000, 3000,  44.845,  53.855,  14.960,  25.307,  30.660,   8.517, 89,  0,   3.624,   4.452,   1.237,   6.992,   8.119,   2.255,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:56:047, 158807659031501,    1.328,   34.000, 3000,  44.450,  59.337,  16.483,  25.284,  33.778,   9.383, 92,  0,   3.640,   4.901,   1.361,   6.823,   8.961,   2.489,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:34:56:140, 158807864479523,    1.421,  185.000, 2900,  38.254,  62.897,  17.471,  20.644,  35.699,   9.916, 95,  0,   2.203,   5.106,   1.418,   5.664,   9.488,   2.635,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.421064
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 62.896667
Cumulative Processor Energy_0 (mWh) = 17.471297
Average Processor Power_0 (Watt) = 44.260278

Cumulative IA Energy_0 (Joules) = 35.698792
Cumulative IA Energy_0 (mWh) = 9.916331
Average IA Power_0 (Watt) = 25.121179

Cumulative DRAM Energy_0 (Joules) = 5.106140
Cumulative DRAM Energy_0 (mWh) = 1.418372
Average DRAM Power_0 (Watt) = 3.593182

Cumulative GT Energy_0 (Joules) = 9.487793
Cumulative GT Energy_0 (mWh) = 2.635498
Average GT Power_0 (Watt) = 6.676544
