System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:33:54:479, 158671717628672,    0.103,   62.000, 3000,  47.731,   4.939,   1.372,  28.547,   2.954,   0.821, 92,  0,   3.669,   0.380,   0.105,   6.414,   0.664,   0.184,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:33:54:587, 158671955381915,    0.211,   56.000, 3000,  44.391,   9.719,   2.700,  25.432,   5.692,   1.581, 92,  0,   3.672,   0.775,   0.215,   6.760,   1.392,   0.387,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:33:54:711, 158672228481397,    0.335,   54.000, 3000,  44.965,  15.281,   4.245,  25.327,   8.825,   2.451, 90,  0,   3.858,   1.252,   0.348,   6.948,   2.251,   0.625,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:33:54:836, 158672504980549,    0.460,   66.000, 3000,  45.557,  20.985,   5.829,  26.298,  12.118,   3.366, 93,  0,   3.874,   1.737,   0.483,   6.803,   3.103,   0.862,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:33:54:989, 158672842930670,    0.613,   80.000, 2900,  46.866,  28.159,   7.822,  27.538,  16.333,   4.537, 90,  0,   4.028,   2.354,   0.654,   6.625,   4.117,   1.144,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:33:55:114, 158673117761140,    0.738,   52.000, 3000,  41.587,  33.335,   9.260,  22.079,  19.081,   5.300, 88,  0,   3.684,   2.812,   0.781,   6.814,   4.965,   1.379,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:33:55:114, 158673119976067,    0.739,   28.000, 3000,  36.142,  33.371,   9.270,  22.878,  19.104,   5.307, 88,  0,   2.555,   2.815,   0.782,   5.111,   4.970,   1.381,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.738596
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 33.371216
Cumulative Processor Energy_0 (mWh) = 9.269782
Average Processor Power_0 (Watt) = 45.181966

Cumulative IA Energy_0 (Joules) = 19.104187
Cumulative IA Energy_0 (mWh) = 5.306719
Average IA Power_0 (Watt) = 25.865546

Cumulative DRAM Energy_0 (Joules) = 2.815002
Cumulative DRAM Energy_0 (mWh) = 0.781945
Average DRAM Power_0 (Watt) = 3.811289

Cumulative GT Energy_0 (Joules) = 4.970154
Cumulative GT Energy_0 (mWh) = 1.380598
Average GT Power_0 (Watt) = 6.729192
