System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:32:28:010, 158480793084748,    0.114,   66.000, 3000,  46.775,   5.339,   1.483,  27.927,   3.188,   0.885, 94,  0,   3.714,   0.424,   0.118,   6.469,   0.738,   0.205,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:28:165, 158481133902832,    0.268,   80.000, 2900,  46.325,  12.489,   3.469,  27.164,   7.381,   2.050, 90,  0,   3.796,   1.010,   0.281,   6.420,   1.729,   0.480,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:28:273, 158481372827038,    0.377,   60.000, 3000,  43.693,  17.217,   4.783,  24.477,  10.029,   2.786, 90,  0,   3.789,   1.420,   0.394,   6.755,   2.460,   0.683,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:28:380, 158481609501005,    0.484,   57.000, 3000,  44.777,  22.017,   6.116,  25.463,  12.759,   3.544, 90,  0,   3.779,   1.825,   0.507,   6.863,   3.196,   0.888,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:28:487, 158481847264470,    0.592,   50.000, 3000,  44.557,  26.815,   7.449,  24.874,  15.437,   4.288, 89,  0,   3.812,   2.235,   0.621,   6.969,   3.946,   1.096,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:28:611, 158482120142909,    0.715,   58.000, 2900,  47.157,  32.643,   9.067,  27.866,  18.881,   5.245, 92,  0,   3.947,   2.723,   0.756,   6.874,   4.796,   1.332,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:32:28:670, 158482249963193,    0.774,   77.000, 2900,  42.508,  35.142,   9.762,  22.972,  20.232,   5.620, 96,  0,   3.623,   2.936,   0.816,   6.904,   5.202,   1.445,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.773956
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 35.142151
Cumulative Processor Energy_0 (mWh) = 9.761709
Average Processor Power_0 (Watt) = 45.405899

Cumulative IA Energy_0 (Joules) = 20.231567
Cumulative IA Energy_0 (mWh) = 5.619880
Average IA Power_0 (Watt) = 26.140475

Cumulative DRAM Energy_0 (Joules) = 2.936218
Cumulative DRAM Energy_0 (mWh) = 0.815616
Average DRAM Power_0 (Watt) = 3.793781

Cumulative GT Energy_0 (Joules) = 5.201599
Cumulative GT Energy_0 (mWh) = 1.444889
Average GT Power_0 (Watt) = 6.720798
