System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:31:31:627, 158356298902140,    0.131,   60.000, 3400,  49.730,   6.516,   1.810,  30.419,   3.986,   1.107, 94,  0,   3.756,   0.492,   0.137,   6.824,   0.894,   0.248,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:31:736, 158356539827972,    0.240,   53.000, 3400,  50.050,  11.977,   3.327,  30.516,   7.315,   2.032, 93,  0,   3.806,   0.907,   0.252,   7.027,   1.661,   0.461,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:31:861, 158356814372909,    0.364,   46.000, 3300,  51.374,  18.365,   5.101,  31.532,  11.236,   3.121, 94,  0,   3.720,   1.370,   0.381,   7.014,   2.533,   0.704,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:31:986, 158357089753716,    0.489,   58.000, 3400,  50.176,  24.623,   6.840,  30.832,  15.081,   4.189, 94,  0,   3.820,   1.846,   0.513,   7.070,   3.415,   0.949,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:32:095, 158357331972797,    0.599,   44.000, 3400,  48.622,  29.957,   8.321,  29.139,  18.278,   5.077, 94,  0,   3.628,   2.244,   0.623,   6.883,   4.170,   1.158,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:32:218, 158357603437882,    0.722,   43.000, 3300,  51.175,  36.248,  10.069,  31.669,  22.171,   6.159, 95,  0,   3.624,   2.690,   0.747,   6.906,   5.019,   1.394,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:32:327, 158357844069973,    0.831,   44.000, 3400,  52.156,  41.932,  11.648,  32.799,  25.746,   7.152, 94,  0,   3.603,   3.083,   0.856,   6.875,   5.768,   1.602,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:32:450, 158358116460809,    0.954,   53.000, 3300,  50.029,  48.104,  13.362,  30.892,  29.557,   8.210, 95,  0,   3.747,   3.545,   0.985,   6.822,   6.610,   1.836,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:32:573, 158358386116460,    1.076,   49.000, 3300,  50.494,  54.271,  15.075,  30.894,  33.330,   9.258, 95,  0,   3.705,   3.997,   1.110,   7.107,   7.478,   2.077,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:32:696, 158358658600126,    1.200,   57.000, 2900,  50.559,  60.510,  16.808,  30.693,  37.118,  10.310, 95,  0,   3.807,   4.467,   1.241,   7.013,   8.343,   2.318,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:32:821, 158358935387445,    1.325,   69.000, 3100,  47.616,  66.479,  18.466,  28.510,  40.691,  11.303, 95,  0,   3.810,   4.945,   1.374,   6.687,   9.181,   2.550,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:32:946, 158359211376432,    1.450,   63.000, 2900,  49.774,  72.701,  20.195,  30.520,  44.506,  12.363, 97,  0,   3.839,   5.425,   1.507,   6.707,  10.020,   2.783,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:31:32:988, 158359302628281,    1.491,  106.000, 2700,  46.277,  74.613,  20.726,  27.523,  45.644,  12.679, 96,  0,   3.770,   5.581,   1.550,   6.479,  10.288,   2.858,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.491403
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 74.613098
Cumulative Processor Energy_0 (mWh) = 20.725861
Average Processor Power_0 (Watt) = 50.028813

Cumulative IA Energy_0 (Joules) = 45.643738
Cumulative IA Energy_0 (mWh) = 12.678816
Average IA Power_0 (Watt) = 30.604573

Cumulative DRAM Energy_0 (Joules) = 5.580505
Cumulative DRAM Energy_0 (mWh) = 1.550140
Average DRAM Power_0 (Watt) = 3.741784

Cumulative GT Energy_0 (Joules) = 10.287537
Cumulative GT Energy_0 (mWh) = 2.857649
Average GT Power_0 (Watt) = 6.897894
