System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:09:481, 160957009441447,    0.111,   31.000, 3900,  48.285,   5.369,   1.491,  30.890,   3.435,   0.954, 96,  0,   2.410,   0.268,   0.074,   5.640,   0.627,   0.174,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:09:605, 160957282925186,    0.235,   21.000, 3900,  42.853,  10.677,   2.966,  25.219,   6.559,   1.822, 91,  0,   2.023,   0.519,   0.144,   5.541,   1.313,   0.365,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:09:712, 160957519295645,    0.342,   18.000, 3900,  41.295,  15.098,   4.194,  24.441,   9.175,   2.549, 86,  0,   1.850,   0.717,   0.199,   5.059,   1.855,   0.515,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:09:818, 160957752244590,    0.448,   16.000, 3900,  39.931,  19.311,   5.364,  23.355,  11.639,   3.233, 90,  0,   1.748,   0.901,   0.250,   4.697,   2.351,   0.653,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:09:924, 160957987007347,    0.554,   17.000, 3900,  41.737,  23.748,   6.597,  25.590,  14.360,   3.989, 86,  0,   1.808,   1.093,   0.304,   4.552,   2.835,   0.787,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:10:047, 160958258066268,    0.677,   18.000, 3900,  40.632,  28.736,   7.982,  24.143,  17.324,   4.812, 92,  0,   1.927,   1.330,   0.369,   4.614,   3.401,   0.945,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:10:185, 160958562021830,    0.814,   23.000, 3700,  47.685,  35.301,   9.806,  31.439,  21.652,   6.014, 88,  0,   2.345,   1.653,   0.459,   4.511,   4.022,   1.117,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:10:325, 160958873201344,    0.955,   13.000, 3900,  35.271,  40.272,  11.187,  18.165,  24.212,   6.725, 85,  0,   1.740,   1.898,   0.527,   5.296,   4.768,   1.325,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:10:325, 160958874736881,    0.956,   12.000, 3900,  45.638,  40.303,  11.195,  41.162,  24.240,   6.733, 84,  0,   2.896,   1.900,   0.528,   5.354,   4.772,   1.326,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.955984
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 40.303284
Cumulative Processor Energy_0 (mWh) = 11.195357
Average Processor Power_0 (Watt) = 42.158933

Cumulative IA Energy_0 (Joules) = 24.240295
Cumulative IA Energy_0 (mWh) = 6.733415
Average IA Power_0 (Watt) = 25.356370

Cumulative DRAM Energy_0 (Joules) = 1.899780
Cumulative DRAM Energy_0 (mWh) = 0.527717
Average DRAM Power_0 (Watt) = 1.987250

Cumulative GT Energy_0 (Joules) = 4.772095
Cumulative GT Energy_0 (mWh) = 1.325582
Average GT Power_0 (Watt) = 4.991812
