System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:11:652, 160961801056027,    0.111,   41.000, 3300,  46.096,   5.133,   1.426,  27.911,   3.108,   0.863, 90,  0,   3.006,   0.335,   0.093,   6.037,   0.672,   0.187,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:11:761, 160962042204751,    0.221,   20.000, 3500,  35.313,   8.990,   2.497,  18.125,   5.088,   1.413, 89,  0,   1.851,   0.537,   0.149,   5.465,   1.269,   0.353,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:11:869, 160962280318533,    0.328,   24.000, 3600,  43.371,  13.667,   3.796,  25.732,   7.862,   2.184, 90,  0,   2.312,   0.786,   0.218,   5.785,   1.893,   0.526,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:11:979, 160962523067308,    0.438,   33.000, 3500,  48.549,  19.004,   5.279,  30.295,  11.193,   3.109, 92,  0,   2.896,   1.105,   0.307,   5.995,   2.552,   0.709,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:12:104, 160962799723056,    0.564,   28.000, 3600,  43.859,  24.500,   6.806,  26.065,  14.459,   4.016, 91,  0,   2.589,   1.429,   0.397,   5.589,   3.252,   0.903,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:12:257, 160963138572282,    0.717,   27.000, 3500,  45.549,  31.490,   8.747,  28.457,  18.826,   5.229, 87,  0,   2.250,   1.774,   0.493,   5.386,   4.079,   1.133,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:12:396, 160963445608455,    0.856,   35.000, 3500,  50.068,  38.452,  10.681,  32.598,  23.359,   6.489, 98,  0,   2.370,   2.104,   0.584,   5.443,   4.836,   1.343,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:12:519, 160963716669989,    0.979,   19.000, 3900,  38.577,  43.188,  11.997,  21.246,  25.967,   7.213, 85,  0,   1.901,   2.337,   0.649,   5.450,   5.505,   1.529,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:12:519, 160963718254175,    0.980,   11.000, 3900,  53.424,  43.226,  12.007,  26.201,  25.986,   7.218, 86,  0,   2.297,   2.339,   0.650,   5.019,   5.508,   1.530,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.979650
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.226379
Cumulative Processor Energy_0 (mWh) = 12.007328
Average Processor Power_0 (Watt) = 44.124314

Cumulative IA Energy_0 (Joules) = 25.986084
Cumulative IA Energy_0 (mWh) = 7.218357
Average IA Power_0 (Watt) = 26.525889

Cumulative DRAM Energy_0 (Joules) = 2.338806
Cumulative DRAM Energy_0 (mWh) = 0.649668
Average DRAM Power_0 (Watt) = 2.387390

Cumulative GT Energy_0 (Joules) = 5.508484
Cumulative GT Energy_0 (mWh) = 1.530134
Average GT Power_0 (Watt) = 5.622911
