System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:14:871, 160968911071261,    0.109,   39.000, 3700,  48.385,   5.265,   1.463,  30.784,   3.350,   0.931, 93,  0,   2.779,   0.302,   0.084,   5.890,   0.641,   0.178,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:14:979, 160969147625090,    0.216,   20.000, 3800,  41.080,   9.667,   2.685,  23.833,   5.903,   1.640, 90,  0,   1.907,   0.507,   0.141,   5.354,   1.215,   0.337,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:15:087, 160969386224371,    0.324,   23.000, 3400,  46.089,  14.647,   4.069,  28.279,   8.959,   2.489, 98,  0,   2.299,   0.755,   0.210,   5.567,   1.816,   0.504,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:15:210, 160969659097866,    0.448,   30.000, 3100,  45.446,  20.263,   5.629,  28.259,  12.452,   3.459, 96,  0,   2.303,   1.040,   0.289,   5.458,   2.491,   0.692,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:15:318, 160969896944653,    0.555,   17.000, 3900,  40.594,  24.636,   6.843,  23.356,  14.968,   4.158, 86,  0,   1.826,   1.237,   0.343,   5.414,   3.074,   0.854,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:15:441, 160970168586552,    0.678,   29.000, 3600,  44.281,  30.084,   8.357,  27.289,  18.325,   5.090, 97,  0,   1.824,   1.461,   0.406,   5.383,   3.736,   1.038,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:15:565, 160970442843020,    0.803,   29.000, 3900,  44.521,  35.614,   9.893,  27.301,  21.716,   6.032, 96,  0,   2.206,   1.735,   0.482,   5.397,   4.406,   1.224,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:15:672, 160970679219799,    0.910,   17.000, 2200,  33.594,  39.210,  10.892,  16.318,  23.463,   6.517, 84,  0,   1.718,   1.919,   0.533,   5.383,   4.983,   1.384,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:15:674, 160970684307597,    0.912,   38.000, 2200,  23.495,  39.264,  10.907,  14.224,  23.496,   6.527, 84,  0,   2.331,   1.924,   0.534,   4.927,   4.994,   1.387,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.911918
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 39.264343
Cumulative Processor Energy_0 (mWh) = 10.906762
Average Processor Power_0 (Watt) = 43.056894

Cumulative IA Energy_0 (Joules) = 23.495667
Cumulative IA Energy_0 (mWh) = 6.526574
Average IA Power_0 (Watt) = 25.765118

Cumulative DRAM Energy_0 (Joules) = 1.924133
Cumulative DRAM Energy_0 (mWh) = 0.534481
Average DRAM Power_0 (Watt) = 2.109986

Cumulative GT Energy_0 (Joules) = 4.994019
Cumulative GT Energy_0 (mWh) = 1.387227
Average GT Power_0 (Watt) = 5.476392
