System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:15:934, 160971258240883,    0.112,   46.000, 3100,  48.032,   5.385,   1.496,  29.727,   3.333,   0.926, 97,  0,   3.224,   0.362,   0.100,   6.061,   0.680,   0.189,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:16:042, 160971497221455,    0.220,   48.000, 3400,  45.189,  10.276,   2.854,  26.628,   6.215,   1.726, 93,  0,   3.144,   0.702,   0.195,   5.994,   1.328,   0.369,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:16:151, 160971736412793,    0.329,   45.000, 3300,  50.328,  15.728,   4.369,  32.077,   9.690,   2.692, 94,  0,   3.566,   1.088,   0.302,   5.983,   1.976,   0.549,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:16:306, 160972077356513,    0.483,   40.000, 3900,  47.749,  23.101,   6.417,  30.154,  14.346,   3.985, 95,  0,   2.895,   1.535,   0.426,   5.596,   2.841,   0.789,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:16:444, 160972382052608,    0.621,   21.000, 3900,  46.273,  29.487,   8.191,  28.951,  18.341,   5.095, 87,  0,   2.050,   1.818,   0.505,   5.413,   3.588,   0.997,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:16:554, 160972624903727,    0.731,   18.000, 3700,  45.375,  34.477,   9.577,  28.147,  21.437,   5.955, 97,  0,   1.920,   2.029,   0.564,   5.422,   4.184,   1.162,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:16:710, 160972970371285,    0.888,   17.000, 3900,  38.762,  40.542,  11.262,  21.579,  24.813,   6.893, 89,  0,   1.635,   2.285,   0.635,   5.412,   5.031,   1.397,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:16:834, 160973244491701,    1.012,   17.000, 3900,  40.600,  45.583,  12.662,  23.392,  27.717,   7.699, 85,  0,   1.956,   2.528,   0.702,   5.451,   5.707,   1.585,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:16:835, 160973246713343,    1.013,   25.000, 3900,  49.924,  45.633,  12.676,  28.025,  27.746,   7.707, 85,  0,   1.941,   2.530,   0.703,   4.186,   5.712,   1.587,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.012688
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 45.632751
Cumulative Processor Energy_0 (mWh) = 12.675764
Average Processor Power_0 (Watt) = 45.061011

Cumulative IA Energy_0 (Joules) = 27.745544
Cumulative IA Energy_0 (mWh) = 7.707096
Average IA Power_0 (Watt) = 27.397916

Cumulative DRAM Energy_0 (Joules) = 2.529785
Cumulative DRAM Energy_0 (mWh) = 0.702718
Average DRAM Power_0 (Watt) = 2.498089

Cumulative GT Energy_0 (Joules) = 5.711548
Cumulative GT Energy_0 (mWh) = 1.586541
Average GT Power_0 (Watt) = 5.639987
