System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:52:641, 160787346391807,    0.131,   73.000, 2700,  40.908,   5.375,   1.493,  21.738,   2.856,   0.793, 88,  0,   3.777,   0.496,   0.138,   6.715,   0.882,   0.245,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:52:782, 160787655516002,    0.271,   71.000, 2800,  44.154,  11.556,   3.210,  25.007,   6.357,   1.766, 89,  0,   3.412,   0.974,   0.271,   6.814,   1.836,   0.510,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:52:919, 160787959862334,    0.409,   63.000, 2800,  44.095,  17.634,   4.898,  22.856,   9.508,   2.641, 90,  0,   3.653,   1.477,   0.410,   8.627,   3.025,   0.840,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:53:042, 160788229787506,    0.531,   29.000, 3000,  40.036,  22.529,   6.258,  19.699,  11.916,   3.310, 89,  0,   3.093,   1.856,   0.515,   8.147,   4.021,   1.117,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:53:244, 160788676480233,    0.734,   48.000, 3200,  39.239,  30.467,   8.463,  21.268,  16.218,   4.505, 88,  0,   2.739,   2.410,   0.669,   5.943,   5.224,   1.451,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:53:367, 160788947719553,    0.857,   36.000, 3300,  43.182,  35.772,   9.937,  24.722,  19.255,   5.349, 95,  0,   2.953,   2.772,   0.770,   6.104,   5.973,   1.659,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:53:492, 160789225208370,    0.982,   31.000, 3500,  41.710,  41.013,  11.393,  23.667,  22.230,   6.175, 90,  0,   2.593,   3.098,   0.861,   5.853,   6.709,   1.864,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:53:616, 160789496913744,    1.105,   24.000, 3600,  41.623,  46.135,  12.815,  24.330,  25.224,   7.007, 92,  0,   2.231,   3.373,   0.937,   5.476,   7.383,   2.051,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:53:737, 160789764942971,    1.227,   30.000, 3200,  44.356,  51.520,  14.311,  27.035,  28.505,   7.918, 96,  0,   2.387,   3.663,   1.017,   5.574,   8.059,   2.239,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:53:860, 160790036444306,    1.350,   34.000, 3600,  43.603,  56.881,  15.800,  25.342,  31.621,   8.784, 90,  0,   2.921,   4.022,   1.117,   6.020,   8.800,   2.444,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:53:861, 160790038496891,    1.351,   25.000, 3600,  45.828,  56.924,  15.812,  25.869,  31.646,   8.790, 90,  0,   3.808,   4.025,   1.118,   8.667,   8.808,   2.447,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.350634
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 56.923889
Cumulative Processor Energy_0 (mWh) = 15.812191
Average Processor Power_0 (Watt) = 42.146063

Cumulative IA Energy_0 (Joules) = 31.645508
Cumulative IA Energy_0 (mWh) = 8.790419
Average IA Power_0 (Watt) = 23.430120

Cumulative DRAM Energy_0 (Joules) = 4.025269
Cumulative DRAM Energy_0 (mWh) = 1.118130
Average DRAM Power_0 (Watt) = 2.980282

Cumulative GT Energy_0 (Joules) = 8.807678
Cumulative GT Energy_0 (mWh) = 2.446577
Average GT Power_0 (Watt) = 6.521145
