System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:56:392, 160795627246196,    0.117,   49.000, 3100,  45.040,   5.272,   1.464,  26.562,   3.109,   0.864, 93,  0,   3.373,   0.395,   0.110,   6.102,   0.714,   0.198,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:56:517, 160795902817809,    0.242,   49.000, 3100,  44.618,  10.841,   3.011,  25.999,   6.354,   1.765, 91,  0,   3.268,   0.803,   0.223,   6.216,   1.490,   0.414,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:56:641, 160796178192601,    0.367,   53.000, 3100,  45.656,  16.535,   4.593,  27.169,   9.742,   2.706, 89,  0,   3.406,   1.227,   0.341,   6.011,   2.240,   0.622,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:56:748, 160796412501451,    0.473,   50.000, 3100,  47.013,  21.524,   5.979,  27.914,  12.705,   3.529, 91,  0,   3.735,   1.624,   0.451,   6.611,   2.941,   0.817,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:56:889, 160796724346610,    0.614,   58.000, 3100,  45.368,  27.931,   7.759,  26.306,  16.420,   4.561, 94,  0,   3.691,   2.145,   0.596,   6.598,   3.873,   1.076,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:57:013, 160796998056104,    0.738,   45.000, 3100,  45.290,  33.545,   9.318,  26.214,  19.669,   5.464, 93,  0,   3.547,   2.585,   0.718,   6.627,   4.695,   1.304,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:57:152, 160797304765339,    0.877,   46.000, 3100,  42.892,  39.503,  10.973,  24.068,  23.013,   6.392, 90,  0,   3.331,   3.047,   0.847,   6.398,   5.583,   1.551,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:57:262, 160797547936397,    0.987,   37.000, 3200,  41.335,  44.056,  12.238,  22.761,  25.519,   7.089, 88,  0,   3.080,   3.387,   0.941,   6.258,   6.273,   1.742,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:57:371, 160797789398561,    1.096,   51.000, 3200,  48.498,  49.359,  13.711,  29.695,  28.767,   7.991, 93,  0,   3.511,   3.771,   1.047,   6.201,   6.951,   1.931,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:57:525, 160798128586146,    1.250,   29.000, 3300,  37.435,  55.110,  15.308,  19.868,  31.819,   8.839, 94,  0,   2.479,   4.151,   1.153,   5.729,   7.831,   2.175,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:57:649, 160798403077431,    1.374,   38.000, 3400,  46.459,  60.886,  16.913,  27.565,  35.245,   9.790, 87,  0,   3.349,   4.568,   1.269,   6.277,   8.611,   2.392,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:57:662, 160798433081251,    1.388,   29.000, 3400,  42.846,  61.468,  17.074,  26.941,  35.611,   9.892, 91,  0,   2.632,   4.604,   1.279,   5.960,   8.692,   2.414,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.387808
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 61.467773
Cumulative Processor Energy_0 (mWh) = 17.074382
Average Processor Power_0 (Watt) = 44.291253

Cumulative IA Energy_0 (Joules) = 35.611450
Cumulative IA Energy_0 (mWh) = 9.892069
Average IA Power_0 (Watt) = 25.660207

Cumulative DRAM Energy_0 (Joules) = 4.603516
Cumulative DRAM Energy_0 (mWh) = 1.278754
Average DRAM Power_0 (Watt) = 3.317112

Cumulative GT Energy_0 (Joules) = 8.692017
Cumulative GT Energy_0 (mWh) = 2.414449
Average GT Power_0 (Watt) = 6.263124
