System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:57:959, 160799086845907,    0.121,   34.000, 2800,  44.220,   5.341,   1.483,  25.852,   3.122,   0.867, 96,  0,   2.913,   0.352,   0.098,   5.993,   0.724,   0.201,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:58:128, 160799460033333,    0.290,  106.000, 3000,  46.623,  13.221,   3.672,  28.447,   7.930,   2.203, 95,  0,   3.474,   0.939,   0.261,   5.879,   1.717,   0.477,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:58:264, 160799760035882,    0.426,   70.000, 3000,  49.980,  20.011,   5.559,  30.978,  12.139,   3.372, 95,  0,   3.726,   1.445,   0.401,   6.389,   2.585,   0.718,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:58:419, 160800101879141,    0.580,   61.000, 3100,  44.988,  26.976,   7.493,  26.249,  16.203,   4.501, 95,  0,   3.388,   1.970,   0.547,   6.272,   3.557,   0.988,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:58:527, 160800341044631,    0.689,   62.000, 3000,  45.637,  31.920,   8.867,  26.880,  19.115,   5.310, 92,  0,   3.539,   2.353,   0.654,   6.433,   4.253,   1.181,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:58:649, 160800611626150,    0.811,   64.000, 3000,  46.858,  37.662,  10.462,  27.625,  22.500,   6.250, 95,  0,   3.947,   2.837,   0.788,   6.499,   5.050,   1.403,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:58:847, 160801047121581,    1.009,  100.000, 2800,  46.727,  46.878,  13.022,  27.699,  27.963,   7.768, 91,  0,   3.996,   3.625,   1.007,   6.371,   6.306,   1.752,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:58:971, 160801320699660,    1.132,   48.000, 2900,  42.717,  52.171,  14.492,  23.776,  30.909,   8.586, 89,  0,   3.540,   4.064,   1.129,   6.462,   7.107,   1.974,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:59:125, 160801662703240,    1.287,   72.000, 3000,  43.631,  58.929,  16.369,  23.544,  34.556,   9.599, 89,  0,   3.861,   4.662,   1.295,   7.462,   8.263,   2.295,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:59:264, 160801968503996,    1.426,   63.000, 3000,  45.195,  65.188,  18.108,  25.919,  38.145,  10.596, 92,  0,   3.667,   5.169,   1.436,   6.945,   9.225,   2.562,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:59:402, 160802274287754,    1.564,   63.000, 3000,  43.796,  71.253,  19.793,  25.135,  41.626,  11.563, 87,  0,   3.333,   5.631,   1.564,   6.078,  10.066,   2.796,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:59:526, 160802546492009,    1.688,   40.000, 3000,  36.576,  75.762,  21.045,  17.320,  43.762,  12.156, 88,  0,   3.342,   6.043,   1.679,   6.973,  10.926,   3.035,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:59:536, 160802569944733,    1.698,   42.000, 3000,  46.413,  76.255,  21.182,  25.565,  44.033,  12.231, 88,  0,   4.436,   6.090,   1.692,   6.809,  10.998,   3.055,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.698257
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 76.255371
Cumulative Processor Energy_0 (mWh) = 21.182048
Average Processor Power_0 (Watt) = 44.902150

Cumulative IA Energy_0 (Joules) = 44.033081
Cumulative IA Energy_0 (mWh) = 12.231411
Average IA Power_0 (Watt) = 25.928403

Cumulative DRAM Energy_0 (Joules) = 6.090088
Cumulative DRAM Energy_0 (mWh) = 1.691691
Average DRAM Power_0 (Watt) = 3.586082

Cumulative GT Energy_0 (Joules) = 10.998413
Cumulative GT Energy_0 (mWh) = 3.055115
Average GT Power_0 (Watt) = 6.476297
