System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:59:922, 160803421790615,    0.130,   63.000, 3000,  44.188,   5.728,   1.591,  25.820,   3.347,   0.930, 92,  0,   3.467,   0.449,   0.125,   6.105,   0.791,   0.220,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:00:044, 160803692548867,    0.252,   61.000, 3000,  45.501,  11.308,   3.141,  26.615,   6.611,   1.836, 95,  0,   3.786,   0.914,   0.254,   6.243,   1.557,   0.432,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:00:167, 160803963747233,    0.375,   56.000, 3000,  45.247,  16.865,   4.685,  26.462,   9.861,   2.739, 90,  0,   3.529,   1.347,   0.374,   6.177,   2.316,   0.643,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:00:307, 160804270855610,    0.514,   44.000, 3100,  41.619,  22.654,   6.293,  23.786,  13.169,   3.658, 91,  0,   2.735,   1.728,   0.480,   5.800,   3.122,   0.867,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:00:431, 160804544657232,    0.638,   40.000, 3200,  42.053,  27.869,   7.741,  24.412,  16.197,   4.499, 90,  0,   2.566,   2.046,   0.568,   5.578,   3.814,   1.059,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:00:553, 160804814888041,    0.761,   37.000, 3200,  44.290,  33.289,   9.247,  26.932,  19.493,   5.415, 95,  0,   2.512,   2.353,   0.654,   5.582,   4.497,   1.249,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:00:677, 160805088513494,    0.884,   82.000, 3000,  51.633,  39.688,  11.024,  33.026,  23.585,   6.551, 96,  0,   4.174,   2.870,   0.797,   5.953,   5.235,   1.454,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:00:816, 160805396099420,    1.024,   84.000, 2900,  48.105,  46.389,  12.886,  29.469,  27.691,   7.692, 95,  0,   3.665,   3.381,   0.939,   5.904,   6.057,   1.683,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:00:953, 160805699259557,    1.161,   76.000, 2800,  45.915,  52.693,  14.637,  27.414,  31.455,   8.737, 93,  0,   3.809,   3.904,   1.084,   6.063,   6.890,   1.914,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:01:091, 160806003900539,    1.299,   62.000, 2900,  43.099,  58.640,  16.289,  24.570,  34.844,   9.679, 90,  0,   3.479,   4.384,   1.218,   6.111,   7.733,   2.148,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:01:231, 160806310865002,    1.438,   57.000, 3000,  41.160,  64.362,  17.878,  22.656,  37.994,  10.554, 88,  0,   3.214,   4.831,   1.342,   6.180,   8.592,   2.387,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:01:237, 160806326885915,    1.445,   74.000, 3000,  43.506,  64.678,  17.966,  26.741,  38.188,  10.608, 89,  0,   3.844,   4.859,   1.350,   6.805,   8.641,   2.400,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.445339
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 64.677551
Cumulative Processor Energy_0 (mWh) = 17.965986
Average Processor Power_0 (Watt) = 44.749062

Cumulative IA Energy_0 (Joules) = 38.188232
Cumulative IA Energy_0 (mWh) = 10.607842
Average IA Power_0 (Watt) = 26.421649

Cumulative DRAM Energy_0 (Joules) = 4.858826
Cumulative DRAM Energy_0 (mWh) = 1.349674
Average DRAM Power_0 (Watt) = 3.361721

Cumulative GT Energy_0 (Joules) = 8.641357
Cumulative GT Energy_0 (mWh) = 2.400377
Average GT Power_0 (Watt) = 5.978777
