System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:03:431, 160811170347201,    0.129,   51.000, 3200,  43.928,   5.647,   1.569,  25.493,   3.277,   0.910, 90,  0,   3.066,   0.394,   0.109,   6.018,   0.774,   0.215,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:03:552, 160811436044466,    0.249,   33.000, 3300,  42.391,  10.748,   2.986,  24.906,   6.274,   1.743, 88,  0,   2.424,   0.686,   0.191,   5.635,   1.452,   0.403,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:03:674, 160811705352801,    0.371,   43.000, 3300,  46.255,  16.390,   4.553,  28.351,   9.732,   2.703, 96,  0,   3.044,   1.057,   0.294,   5.770,   2.155,   0.599,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:03:781, 160811941413255,    0.478,   40.000, 3200,  46.388,  21.349,   5.930,  28.064,  12.732,   3.537, 89,  0,   3.077,   1.386,   0.385,   5.945,   2.791,   0.775,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:03:935, 160812282792512,    0.632,   42.000, 3200,  45.973,  28.457,   7.905,  27.612,  17.001,   4.723, 92,  0,   3.253,   1.889,   0.525,   5.999,   3.718,   1.033,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:04:089, 160812622001422,    0.786,   48.000, 3200,  45.490,  35.446,   9.846,  27.669,  21.252,   5.903, 92,  0,   2.943,   2.341,   0.650,   5.821,   4.613,   1.281,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:04:214, 160812897623829,    0.911,   35.000, 3300,  41.051,  40.570,  11.269,  22.851,  24.105,   6.696, 89,  0,   2.827,   2.694,   0.748,   5.960,   5.357,   1.488,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:04:338, 160813172356780,    1.035,   64.000, 3200,  48.630,  46.621,  12.950,  30.020,  27.840,   7.733, 94,  0,   3.498,   3.129,   0.869,   5.770,   6.075,   1.687,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:04:461, 160813444948940,    1.159,   27.000, 3400,  39.128,  51.451,  14.292,  21.724,  30.522,   8.478, 88,  0,   2.217,   3.403,   0.945,   5.600,   6.766,   1.879,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:04:461, 160813446334705,    1.159,   18.000, 3400,  65.838,  51.493,  14.304,  26.258,  30.538,   8.483, 88,  0,   3.890,   3.405,   0.946,   5.057,   6.769,   1.880,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.159342
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 51.492737
Cumulative Processor Energy_0 (mWh) = 14.303538
Average Processor Power_0 (Watt) = 44.415498

Cumulative IA Energy_0 (Joules) = 30.538330
Cumulative IA Energy_0 (mWh) = 8.482869
Average IA Power_0 (Watt) = 26.341096

Cumulative DRAM Energy_0 (Joules) = 3.405396
Cumulative DRAM Energy_0 (mWh) = 0.945943
Average DRAM Power_0 (Watt) = 2.937353

Cumulative GT Energy_0 (Joules) = 6.769226
Cumulative GT Energy_0 (mWh) = 1.880341
Average GT Power_0 (Watt) = 5.838853
