System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:05:962, 160816757296575,    0.109,   54.000, 3000,  46.714,   5.089,   1.414,  28.317,   3.085,   0.857, 93,  0,   3.285,   0.358,   0.099,   6.010,   0.655,   0.182,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:06:084, 160817028438053,    0.232,   39.000, 3100,  41.691,  10.209,   2.836,  23.661,   5.991,   1.664, 90,  0,   2.806,   0.703,   0.195,   5.843,   1.372,   0.381,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:06:209, 160817302401713,    0.356,   34.000, 3100,  42.557,  15.489,   4.303,  25.046,   9.098,   2.527, 96,  0,   2.674,   1.034,   0.287,   5.461,   2.050,   0.569,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:06:392, 160817706692843,    0.539,   36.000, 3500,  39.375,  22.699,   6.305,  22.168,  13.157,   3.655, 85,  0,   2.039,   1.408,   0.391,   5.419,   3.042,   0.845,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:06:516, 160817980678583,    0.663,   17.000, 3700,  37.633,  27.369,   7.602,  20.546,  15.707,   4.363, 87,  0,   1.796,   1.631,   0.453,   5.371,   3.709,   1.030,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:06:622, 160818214464679,    0.769,   19.000, 3900,  42.325,  31.850,   8.847,  25.295,  18.385,   5.107, 90,  0,   1.918,   1.834,   0.509,   5.302,   4.270,   1.186,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:06:761, 160818521101496,    0.908,   27.000, 3700,  48.606,  38.600,  10.722,  31.246,  22.724,   6.312, 86,  0,   2.410,   2.168,   0.602,   5.367,   5.015,   1.393,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:06:883, 160818792493746,    1.031,   18.000, 3900,  39.077,  43.403,  12.056,  21.679,  25.389,   7.052, 85,  0,   2.017,   2.416,   0.671,   5.437,   5.684,   1.579,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:06:884, 160818794640817,    1.032,   24.000, 3900,  55.800,  43.458,  12.072,  38.853,  25.427,   7.063, 85,  0,   3.076,   2.419,   0.672,   5.272,   5.689,   1.580,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.031654
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.457642
Cumulative Processor Energy_0 (mWh) = 12.071567
Average Processor Power_0 (Watt) = 42.124224

Cumulative IA Energy_0 (Joules) = 25.426697
Cumulative IA Energy_0 (mWh) = 7.062971
Average IA Power_0 (Watt) = 24.646526

Cumulative DRAM Energy_0 (Joules) = 2.419189
Cumulative DRAM Energy_0 (mWh) = 0.671997
Average DRAM Power_0 (Watt) = 2.344961

Cumulative GT Energy_0 (Joules) = 5.688782
Cumulative GT Energy_0 (mWh) = 1.580217
Average GT Power_0 (Watt) = 5.514232
