System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:41:023, 161026654381395,    0.106,   41.000, 3600,  50.052,   5.325,   1.479,  32.114,   3.416,   0.949, 95,  0,   2.833,   0.301,   0.084,   5.710,   0.607,   0.169,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:41:131, 161026891913647,    0.214,   15.000, 3900,  39.329,   9.556,   2.654,  22.119,   5.796,   1.610, 88,  0,   1.608,   0.474,   0.132,   5.389,   1.187,   0.330,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:41:241, 161027134706656,    0.324,   17.000, 3900,  41.562,  14.126,   3.924,  24.491,   8.489,   2.358, 87,  0,   1.790,   0.671,   0.186,   5.408,   1.782,   0.495,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:41:347, 161027369233739,    0.430,   24.000, 3800,  46.197,  19.033,   5.287,  28.965,  11.565,   3.213, 94,  0,   2.386,   0.925,   0.257,   5.368,   2.352,   0.653,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:41:456, 161027610112471,    0.539,   25.000, 3600,  50.579,  24.550,   6.820,  33.352,  15.204,   4.223, 96,  0,   2.252,   1.170,   0.325,   5.382,   2.939,   0.816,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:41:564, 161027848792076,    0.647,   26.000, 3400,  45.627,  29.483,   8.190,  28.443,  18.278,   5.077, 95,  0,   1.990,   1.385,   0.385,   5.375,   3.520,   0.978,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:41:671, 161028083718488,    0.754,   16.000, 3900,  40.246,  33.765,   9.379,  22.931,  20.718,   5.755, 91,  0,   1.909,   1.589,   0.441,   5.367,   4.091,   1.136,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:41:780, 161028325196132,    0.863,   16.000, 3900,  42.136,  38.373,  10.659,  25.260,  23.481,   6.522, 85,  0,   1.651,   1.769,   0.491,   5.302,   4.671,   1.298,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:41:903, 161028596711934,    0.986,   14.000, 3900,  39.986,  43.290,  12.025,  23.038,  26.314,   7.309, 84,  0,   1.585,   1.964,   0.546,   5.314,   5.325,   1.479,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:41:904, 161028598964185,    0.987,   26.000, 3900,  44.817,  43.336,  12.038,  28.362,  26.343,   7.317, 84,  0,   1.915,   1.966,   0.546,   5.146,   5.330,   1.481,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.987077
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.335510
Cumulative Processor Energy_0 (mWh) = 12.037642
Average Processor Power_0 (Watt) = 43.902870

Cumulative IA Energy_0 (Joules) = 26.342651
Cumulative IA Energy_0 (mWh) = 7.317403
Average IA Power_0 (Watt) = 26.687536

Cumulative DRAM Energy_0 (Joules) = 1.966064
Cumulative DRAM Energy_0 (mWh) = 0.546129
Average DRAM Power_0 (Watt) = 1.991805

Cumulative GT Energy_0 (Joules) = 5.329895
Cumulative GT Energy_0 (mWh) = 1.480526
Average GT Power_0 (Watt) = 5.399675
