System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:51:202, 161049129833517,    0.114,   36.000, 3900,  44.933,   5.126,   1.424,  28.129,   3.209,   0.891, 92,  0,   2.544,   0.290,   0.081,   4.866,   0.555,   0.154,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:51:310, 161049366888770,    0.221,   27.000, 3900,  49.769,  10.469,   2.908,  33.154,   6.768,   1.880, 90,  0,   2.135,   0.519,   0.144,   4.507,   1.039,   0.289,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:51:479, 161049740709971,    0.391,   28.000, 3800,  50.491,  19.017,   5.283,  34.637,  12.633,   3.509, 95,  0,   2.564,   0.954,   0.265,   3.922,   1.703,   0.473,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:51:648, 161050114188953,    0.560,   29.000, 3900,  43.267,  26.336,   7.316,  27.563,  17.295,   4.804, 88,  0,   2.158,   1.319,   0.366,   3.899,   2.362,   0.656,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:51:760, 161050361336929,    0.672,   29.000, 3200,  47.805,  31.687,   8.802,  32.041,  20.881,   5.800, 96,  0,   2.097,   1.553,   0.431,   3.884,   2.797,   0.777,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:51:869, 161050600508227,    0.780,   22.000, 3900,  43.591,  36.409,  10.113,  28.520,  23.971,   6.658, 87,  0,   1.887,   1.758,   0.488,   3.363,   3.161,   0.878,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:51:980, 161050846446896,    0.892,   17.000, 3400,  37.666,  40.604,  11.279,  21.759,  26.394,   7.332, 95,  0,   1.697,   1.947,   0.541,   3.990,   3.606,   1.002,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:52:088, 161051084470233,    0.999,    8.000, 3300,  26.657,  43.478,  12.077,   9.753,  27.446,   7.624, 82,  0,   1.454,   2.103,   0.584,   5.220,   4.168,   1.158,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:52:105, 161051123217631,    1.017,  215.000, 3300,  33.772,  44.070,  12.242,  17.564,  27.754,   7.709, 82,  0,   1.951,   2.138,   0.594,   5.422,   4.263,   1.184,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.016877
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 44.070313
Cumulative Processor Energy_0 (mWh) = 12.241753
Average Processor Power_0 (Watt) = 43.338894

Cumulative IA Energy_0 (Joules) = 27.753784
Cumulative IA Energy_0 (mWh) = 7.709384
Average IA Power_0 (Watt) = 27.293165

Cumulative DRAM Energy_0 (Joules) = 2.137695
Cumulative DRAM Energy_0 (mWh) = 0.593804
Average DRAM Power_0 (Watt) = 2.102217

Cumulative GT Energy_0 (Joules) = 4.263489
Cumulative GT Energy_0 (mWh) = 1.184302
Average GT Power_0 (Watt) = 4.192729
