System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:42:153, 161029149166603,    0.109,   33.000, 3900,  47.638,   5.209,   1.447,  30.216,   3.304,   0.918, 87,  0,   2.307,   0.252,   0.070,   5.643,   0.617,   0.171,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:42:261, 161029387521853,    0.217,   28.000, 3900,  50.516,  10.662,   2.962,  33.177,   6.885,   1.913, 95,  0,   2.108,   0.480,   0.133,   5.449,   1.205,   0.335,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:42:368, 161029623451332,    0.324,   25.000, 3900,  51.442,  16.159,   4.489,  33.980,  10.516,   2.921, 93,  0,   2.424,   0.739,   0.205,   5.463,   1.789,   0.497,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:42:491, 161029895494868,    0.447,   26.000, 3900,  52.243,  22.595,   6.277,  35.032,  14.832,   4.120, 89,  0,   2.302,   1.022,   0.284,   5.400,   2.454,   0.682,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:42:631, 161030204416459,    0.587,   30.000, 2900,  50.233,  29.623,   8.229,  32.849,  19.428,   5.397, 96,  0,   2.323,   1.347,   0.374,   5.383,   3.208,   0.891,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:42:786, 161030547275287,    0.743,   38.000, 3900,  47.405,  36.984,  10.273,  30.032,  24.092,   6.692, 93,  0,   2.794,   1.781,   0.495,   5.439,   4.052,   1.126,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:42:911, 161030822823190,    0.867,   37.000, 3100,  46.245,  42.756,  11.877,  28.853,  27.692,   7.692, 94,  0,   2.915,   2.145,   0.596,   5.073,   4.685,   1.301,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:43:049, 161031126224416,    1.005,   30.000, 3900,  48.730,  49.451,  13.737,  31.572,  32.031,   8.897, 91,  0,   2.781,   2.527,   0.702,   5.076,   5.383,   1.495,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:43:049, 161031128993641,    1.006,   36.000, 3900,  64.433,  49.532,  13.759,  33.725,  32.073,   8.909, 94,  0,   2.969,   2.531,   0.703,   4.672,   5.388,   1.497,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.006001
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 49.532288
Cumulative Processor Energy_0 (mWh) = 13.758969
Average Processor Power_0 (Watt) = 49.236818

Cumulative IA Energy_0 (Joules) = 32.072937
Cumulative IA Energy_0 (mWh) = 8.909149
Average IA Power_0 (Watt) = 31.881616

Cumulative DRAM Energy_0 (Joules) = 2.531006
Cumulative DRAM Energy_0 (mWh) = 0.703057
Average DRAM Power_0 (Watt) = 2.515908

Cumulative GT Energy_0 (Joules) = 5.388489
Cumulative GT Energy_0 (mWh) = 1.496802
Average GT Power_0 (Watt) = 5.356345
