System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:43:374, 161031845076413,    0.136,   28.000, 3900,  41.303,   5.602,   1.556,  25.205,   3.418,   0.950, 89,  0,   2.243,   0.304,   0.084,   4.079,   0.553,   0.154,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:43:514, 161032153913140,    0.275,   17.000, 3900,  40.850,  11.315,   3.143,  25.180,   6.940,   1.928, 96,  0,   1.755,   0.550,   0.153,   3.929,   1.103,   0.306,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:43:654, 161032463817714,    0.416,   20.000, 3900,  41.419,  17.129,   4.758,  25.874,  10.572,   2.937, 94,  0,   1.751,   0.795,   0.221,   3.889,   1.649,   0.458,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:43:778, 161032737440574,    0.540,   15.000, 3900,  39.485,  22.022,   6.117,  24.356,  13.590,   3.775, 85,  0,   1.726,   1.009,   0.280,   3.356,   2.064,   0.573,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:43:903, 161033012827753,    0.664,   15.000, 3900,  36.202,  26.537,   7.371,  21.310,  16.248,   4.513, 85,  0,   1.537,   1.201,   0.334,   3.257,   2.471,   0.686,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:44:011, 161033250035280,    0.772,   19.000, 3900,  43.751,  31.237,   8.677,  27.190,  19.169,   5.325, 85,  0,   1.905,   1.406,   0.390,   4.958,   3.003,   0.834,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:44:133, 161033520420257,    0.894,   17.000, 3900,  41.523,  36.322,  10.089,  24.238,  22.137,   6.149, 83,  0,   1.824,   1.629,   0.453,   5.311,   3.654,   1.015,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:44:134, 161033523639495,    0.896,   29.000, 3900,  38.179,  36.378,  10.105,  44.877,  22.202,   6.167, 83,  0,   2.763,   1.633,   0.454,   7.703,   3.665,   1.018,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.895835
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 36.377502
Cumulative Processor Energy_0 (mWh) = 10.104862
Average Processor Power_0 (Watt) = 40.607387

Cumulative IA Energy_0 (Joules) = 22.202393
Cumulative IA Energy_0 (mWh) = 6.167331
Average IA Power_0 (Watt) = 24.784031

Cumulative DRAM Energy_0 (Joules) = 1.633057
Cumulative DRAM Energy_0 (mWh) = 0.453627
Average DRAM Power_0 (Watt) = 1.822944

Cumulative GT Energy_0 (Joules) = 3.664917
Cumulative GT Energy_0 (mWh) = 1.018032
Average GT Power_0 (Watt) = 4.091064
