System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:44:444, 161034206308962,    0.115,   40.000, 3300,  49.792,   5.736,   1.593,  32.147,   3.703,   1.029, 97,  0,   2.589,   0.298,   0.083,   5.690,   0.656,   0.182,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:44:553, 161034448231806,    0.225,   23.000, 3500,  43.041,  10.452,   2.903,  25.679,   6.517,   1.810, 94,  0,   2.028,   0.520,   0.145,   5.416,   1.249,   0.347,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:44:677, 161034721944246,    0.349,   24.000, 3900,  45.710,  16.118,   4.477,  28.508,  10.051,   2.792, 89,  0,   2.058,   0.776,   0.215,   5.400,   1.918,   0.533,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:44:785, 161034960441516,    0.457,   14.000, 3900,  39.956,  20.434,   5.676,  22.875,  12.522,   3.478, 85,  0,   1.581,   0.946,   0.263,   5.370,   2.498,   0.694,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:44:907, 161035228686595,    0.578,   14.000, 3900,  40.108,  25.307,   7.030,  23.390,  15.363,   4.268, 85,  0,   1.633,   1.145,   0.318,   5.334,   3.146,   0.874,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:45:014, 161035465888658,    0.686,   17.000, 3900,  42.132,  29.833,   8.287,  24.814,  18.029,   5.008, 87,  0,   1.619,   1.319,   0.366,   5.304,   3.716,   1.032,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:45:121, 161035702058161,    0.793,   13.000, 3900,  39.254,  34.032,   9.453,  22.224,  20.406,   5.668, 85,  0,   1.595,   1.489,   0.414,   5.293,   4.282,   1.190,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:45:288, 161036069933352,    0.959,   12.000, 3900,  35.741,  39.986,  11.107,  18.752,  23.531,   6.536, 83,  0,   1.693,   1.771,   0.492,   5.306,   5.166,   1.435,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:45:320, 161036142509363,    0.992,   87.000, 3900,  42.527,  41.384,  11.496,  25.636,  24.373,   6.770, 84,  0,   2.618,   1.857,   0.516,   5.324,   5.341,   1.484,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.992101
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 41.384216
Cumulative Processor Energy_0 (mWh) = 11.495616
Average Processor Power_0 (Watt) = 41.713717

Cumulative IA Energy_0 (Joules) = 24.373230
Cumulative IA Energy_0 (mWh) = 6.770342
Average IA Power_0 (Watt) = 24.567289

Cumulative DRAM Energy_0 (Joules) = 1.857422
Cumulative DRAM Energy_0 (mWh) = 0.515951
Average DRAM Power_0 (Watt) = 1.872211

Cumulative GT Energy_0 (Joules) = 5.341431
Cumulative GT Energy_0 (mWh) = 1.483731
Average GT Power_0 (Watt) = 5.383959
