System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:45:629, 161036822611845,    0.112,   31.000, 3600,  46.503,   5.200,   1.444,  29.138,   3.258,   0.905, 90,  0,   2.375,   0.266,   0.074,   5.681,   0.635,   0.176,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:45:737, 161037061851345,    0.220,   21.000, 3900,  45.081,  10.085,   2.801,  27.657,   6.255,   1.737, 90,  0,   1.901,   0.472,   0.131,   5.492,   1.230,   0.342,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:45:843, 161037296775106,    0.327,   14.000, 3900,  39.543,  14.292,   3.970,  22.649,   8.665,   2.407, 89,  0,   1.644,   0.646,   0.180,   5.377,   1.802,   0.501,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:45:967, 161037569409172,    0.450,   24.000, 3900,  45.445,  19.903,   5.529,  28.200,  12.147,   3.374, 86,  0,   1.787,   0.867,   0.241,   5.359,   2.464,   0.684,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:46:089, 161037838456649,    0.572,   18.000, 3900,  46.275,  25.542,   7.095,  29.531,  15.745,   4.374, 98,  0,   1.857,   1.093,   0.304,   5.327,   3.113,   0.865,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:46:304, 161038314024855,    0.787,   34.000, 3400,  42.606,  34.719,   9.644,  25.306,  21.195,   5.888, 96,  0,   2.000,   1.524,   0.423,   5.370,   4.270,   1.186,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:46:441, 161038616555354,    0.924,   27.000, 3900,  43.973,  40.744,  11.318,  26.611,  24.841,   6.900, 87,  0,   2.329,   1.843,   0.512,   5.318,   4.999,   1.388,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:46:445, 161038625869235,    0.929,   39.000, 3900,  42.800,  40.924,  11.368,  27.217,  24.956,   6.932, 88,  0,   2.648,   1.854,   0.515,   5.151,   5.020,   1.395,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.928514
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 40.924072
Cumulative Processor Energy_0 (mWh) = 11.367798
Average Processor Power_0 (Watt) = 44.074801

Cumulative IA Energy_0 (Joules) = 24.956299
Cumulative IA Energy_0 (mWh) = 6.932305
Average IA Power_0 (Watt) = 26.877675

Cumulative DRAM Energy_0 (Joules) = 1.854431
Cumulative DRAM Energy_0 (mWh) = 0.515120
Average DRAM Power_0 (Watt) = 1.997203

Cumulative GT Energy_0 (Joules) = 5.020264
Cumulative GT Energy_0 (mWh) = 1.394518
Average GT Power_0 (Watt) = 5.406772
