System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:46:688, 161039162180857,    0.105,   39.000, 3300,  43.414,   4.577,   1.272,  26.682,   2.813,   0.781, 95,  0,   2.573,   0.271,   0.075,   4.901,   0.517,   0.144,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:46:797, 161039402621881,    0.214,   16.000, 3900,  39.551,   8.884,   2.468,  23.266,   5.347,   1.485, 89,  0,   1.628,   0.449,   0.125,   4.596,   1.017,   0.283,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:46:904, 161039639180844,    0.321,   21.000, 3900,  45.100,  13.716,   3.810,  28.665,   8.418,   2.338, 91,  0,   2.066,   0.670,   0.186,   4.652,   1.516,   0.421,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:47:013, 161039878602666,    0.430,   21.000, 3300,  43.074,  18.387,   5.107,  26.910,  11.336,   3.149, 95,  0,   1.881,   0.874,   0.243,   4.457,   1.999,   0.555,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:47:120, 161040115987618,    0.537,   18.000, 3200,  39.530,  22.637,   6.288,  23.736,  13.888,   3.858, 98,  0,   1.863,   1.074,   0.298,   3.937,   2.422,   0.673,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:47:244, 161040388966365,    0.661,   16.000, 3900,  39.515,  27.522,   7.645,  23.837,  16.835,   4.676, 95,  0,   1.665,   1.280,   0.356,   3.908,   2.905,   0.807,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:47:369, 161040664649263,    0.786,   27.000, 3400,  44.715,  33.105,   9.196,  29.274,  20.490,   5.692, 95,  0,   2.216,   1.557,   0.432,   3.896,   3.392,   0.942,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:47:506, 161040967932847,    0.923,   36.000, 3900,  53.929,  40.513,  11.254,  38.171,  25.733,   7.148, 96,  0,   2.266,   1.868,   0.519,   3.721,   3.903,   1.084,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:47:507, 161040971167699,    0.925,   47.000, 3900,  43.285,  40.576,  11.271,  47.701,  25.803,   7.167, 95,  0,   2.000,   1.871,   0.520,   3.166,   3.908,   1.085,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.924722
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 40.576050
Cumulative Processor Energy_0 (mWh) = 11.271125
Average Processor Power_0 (Watt) = 43.879207

Cumulative IA Energy_0 (Joules) = 25.802795
Cumulative IA Energy_0 (mWh) = 7.167443
Average IA Power_0 (Watt) = 27.903313

Cumulative DRAM Energy_0 (Joules) = 1.870789
Cumulative DRAM Energy_0 (mWh) = 0.519663
Average DRAM Power_0 (Watt) = 2.023083

Cumulative GT Energy_0 (Joules) = 3.907532
Cumulative GT Energy_0 (mWh) = 1.085425
Average GT Power_0 (Watt) = 4.225631
