System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:47:784, 161041581692324,    0.105,   65.000, 3000,  47.620,   4.992,   1.387,  31.669,   3.320,   0.922, 95,  0,   3.224,   0.338,   0.094,   3.501,   0.367,   0.102,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:47:892, 161041820817656,    0.213,   18.000, 3900,  36.559,   8.951,   2.486,  21.799,   5.680,   1.578, 87,  0,   1.727,   0.525,   0.146,   3.272,   0.721,   0.200,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:48:000, 161042059399493,    0.321,   15.000, 3900,  40.514,  13.328,   3.702,  24.020,   8.276,   2.299, 86,  0,   1.759,   0.715,   0.199,   4.843,   1.245,   0.346,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:48:109, 161042298632167,    0.430,   20.000, 3900,  44.617,  18.163,   5.045,  27.750,  11.282,   3.134, 89,  0,   1.892,   0.920,   0.256,   5.329,   1.822,   0.506,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:48:234, 161042574482272,    0.554,   23.000, 3400,  43.093,  23.546,   6.541,  25.928,  14.522,   4.034, 95,  0,   1.824,   1.148,   0.319,   5.302,   2.484,   0.690,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:48:388, 161042915586638,    0.709,   32.000, 3900,  51.199,  31.456,   8.738,  33.829,  19.748,   5.485, 90,  0,   2.324,   1.507,   0.419,   5.348,   3.311,   0.920,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:48:511, 161043187687232,    0.832,   29.000, 3500,  49.643,  37.573,  10.437,  32.100,  23.703,   6.584, 98,  0,   2.476,   1.812,   0.503,   5.614,   4.002,   1.112,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:48:650, 161043493896566,    0.971,   30.000, 3900,  44.054,  43.683,  12.134,  26.721,  27.409,   7.614, 91,  0,   2.227,   2.121,   0.589,   5.392,   4.750,   1.319,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:48:650, 161043495282997,    0.971,   29.000, 3900,   0.000,  43.683,  12.134,  43.839,  27.437,   7.621, 92,  0,   0.000,   2.121,   0.589,   4.860,   4.753,   1.320,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.971480
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.682983
Cumulative Processor Energy_0 (mWh) = 12.134162
Average Processor Power_0 (Watt) = 44.965385

Cumulative IA Energy_0 (Joules) = 27.436707
Cumulative IA Energy_0 (mWh) = 7.621307
Average IA Power_0 (Watt) = 28.242166

Cumulative DRAM Energy_0 (Joules) = 2.120850
Cumulative DRAM Energy_0 (mWh) = 0.589125
Average DRAM Power_0 (Watt) = 2.183111

Cumulative GT Energy_0 (Joules) = 4.753174
Cumulative GT Energy_0 (mWh) = 1.320326
Average GT Power_0 (Watt) = 4.892713
