System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:48:914, 161044077280566,    0.105,   42.000, 3300,  50.942,   5.329,   1.480,  33.055,   3.458,   0.960, 96,  0,   2.457,   0.257,   0.071,   5.682,   0.594,   0.165,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:49:022, 161044314961365,    0.212,   30.000, 3500,  47.448,  10.436,   2.899,  29.895,   6.676,   1.854, 96,  0,   2.260,   0.500,   0.139,   5.564,   1.193,   0.331,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:49:143, 161044583404546,    0.334,   39.000, 2900,  46.710,  16.115,   4.476,  29.399,  10.250,   2.847, 96,  0,   2.423,   0.795,   0.221,   5.487,   1.860,   0.517,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:49:251, 161044820908948,    0.441,   22.000, 3900,  44.479,  20.899,   5.805,  27.063,  13.161,   3.656, 96,  0,   2.051,   1.016,   0.282,   5.471,   2.449,   0.680,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:49:389, 161045125878261,    0.580,   45.000, 3300,  49.681,  27.761,   7.711,  32.253,  17.616,   4.893, 94,  0,   2.733,   1.393,   0.387,   5.434,   3.199,   0.889,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:49:512, 161045397734806,    0.703,   32.000, 3400,  48.339,  33.713,   9.365,  30.975,  21.429,   5.953, 95,  0,   2.510,   1.702,   0.473,   5.434,   3.868,   1.075,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:49:678, 161045764174161,    0.869,   42.000, 3400,  45.128,  41.202,  11.445,  27.722,  26.030,   7.231, 95,  0,   2.452,   2.109,   0.586,   5.461,   4.775,   1.326,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:49:800, 161046033239103,    0.990,   33.000, 3900,  47.901,  47.040,  13.067,  30.513,  29.748,   8.263, 89,  0,   2.399,   2.401,   0.667,   5.422,   5.435,   1.510,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:49:910, 161046276042891,    1.100,    9.000, 3600,  33.205,  50.691,  14.081,  16.066,  31.515,   8.754, 86,  0,   1.580,   2.575,   0.715,   5.388,   6.028,   1.674,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:49:910, 161046277588597,    1.101,   15.000, 3600,  49.871,  50.726,  14.091,  23.541,  31.531,   8.759, 86,  0,   2.790,   2.577,   0.716,   5.318,   6.032,   1.675,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.101114
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 50.725891
Cumulative Processor Energy_0 (mWh) = 14.090525
Average Processor Power_0 (Watt) = 46.067811

Cumulative IA Energy_0 (Joules) = 31.531494
Cumulative IA Energy_0 (mWh) = 8.758748
Average IA Power_0 (Watt) = 28.636006

Cumulative DRAM Energy_0 (Joules) = 2.576965
Cumulative DRAM Energy_0 (mWh) = 0.715824
Average DRAM Power_0 (Watt) = 2.340327

Cumulative GT Energy_0 (Joules) = 6.031616
Cumulative GT Energy_0 (mWh) = 1.675449
Average GT Power_0 (Watt) = 5.477742
