System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:51:50:140, 161046783956487,    0.113,   34.000, 3900,  47.914,   5.419,   1.505,  30.299,   3.427,   0.952, 93,  0,   2.480,   0.281,   0.078,   5.777,   0.653,   0.181,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:50:247, 161047020216980,    0.220,   16.000, 3500,  41.819,   9.893,   2.748,  24.429,   6.041,   1.678, 98,  0,   1.811,   0.474,   0.132,   5.513,   1.243,   0.345,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:50:369, 161047289188419,    0.342,   24.000, 3600,  47.283,  15.653,   4.348,  29.975,   9.692,   2.692, 96,  0,   2.003,   0.718,   0.200,   5.488,   1.912,   0.531,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:50:476, 161047526713602,    0.449,   24.000, 3300,  41.937,  20.165,   5.601,  24.951,  12.376,   3.438, 95,  0,   1.780,   0.910,   0.253,   5.400,   2.493,   0.692,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:50:614, 161047830371491,    0.587,   21.000, 3900,  45.032,  26.358,   7.322,  27.769,  16.195,   4.499, 92,  0,   1.867,   1.167,   0.324,   5.393,   3.234,   0.898,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:50:722, 161048069126739,    0.695,   16.000, 3900,  40.150,  30.699,   8.528,  23.153,  18.699,   5.194, 85,  0,   1.531,   1.332,   0.370,   5.363,   3.814,   1.060,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:50:830, 161048307763634,    0.803,   15.000, 3900,  37.112,  34.710,   9.642,  20.386,  20.902,   5.806, 83,  0,   1.666,   1.512,   0.420,   5.041,   4.359,   1.211,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:50:938, 161048545597562,    0.911,   19.000, 3900,  43.852,  39.434,  10.954,  27.386,  23.852,   6.625, 90,  0,   1.932,   1.720,   0.478,   4.595,   4.854,   1.348,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:51:50:938, 161048546932105,    0.912,   11.000, 3900,   0.000,  39.434,  10.954,  20.500,  23.864,   6.629, 90,  0,   0.000,   1.720,   0.478,   4.443,   4.857,   1.349,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.911541
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 39.433533
Cumulative Processor Energy_0 (mWh) = 10.953759
Average Processor Power_0 (Watt) = 43.260303

Cumulative IA Energy_0 (Joules) = 23.864136
Cumulative IA Energy_0 (mWh) = 6.628927
Average IA Power_0 (Watt) = 26.179996

Cumulative DRAM Energy_0 (Joules) = 1.720276
Cumulative DRAM Energy_0 (mWh) = 0.477854
Average DRAM Power_0 (Watt) = 1.887218

Cumulative GT Energy_0 (Joules) = 4.856812
Cumulative GT Energy_0 (mWh) = 1.349114
Average GT Power_0 (Watt) = 5.328134
