System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:43:536, 160899722568509,    0.108,   39.000, 3000,  37.401,   4.024,   1.118,  19.042,   2.049,   0.569, 89,  0,   3.061,   0.329,   0.091,   5.956,   0.641,   0.178,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:43:644, 160899960071186,    0.215,   31.000, 3200,  37.520,   8.059,   2.239,  19.439,   4.139,   1.150, 85,  0,   2.762,   0.626,   0.174,   5.856,   1.271,   0.353,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:43:751, 160900196494619,    0.322,   25.000, 3400,  37.756,  12.102,   3.362,  19.800,   6.260,   1.739, 85,  0,   2.659,   0.911,   0.253,   5.843,   1.896,   0.527,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:43:874, 160900468263970,    0.445,   27.000, 3500,  44.096,  17.530,   4.869,  26.091,   9.471,   2.631, 90,  0,   2.878,   1.265,   0.351,   5.891,   2.621,   0.728,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:44:027, 160900805046138,    0.598,   40.000, 3400,  45.713,  24.502,   6.806,  27.883,  13.724,   3.812, 94,  0,   2.887,   1.706,   0.474,   5.857,   3.515,   0.976,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:44:151, 160901078706723,    0.722,   35.000, 3400,  44.748,  30.048,   8.347,  26.694,  17.032,   4.731, 88,  0,   2.829,   2.056,   0.571,   5.922,   4.249,   1.180,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:44:257, 160901313004669,    0.828,   28.000, 3500,  42.191,  34.525,   9.590,  24.132,  19.593,   5.443, 90,  0,   2.655,   2.338,   0.649,   5.930,   4.878,   1.355,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:44:396, 160901620861519,    0.967,   28.000, 3600,  45.259,  40.836,  11.343,  27.050,  23.365,   6.490, 91,  0,   2.755,   2.722,   0.756,   5.962,   5.709,   1.586,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:44:568, 160902001268365,    1.140,   30.000, 3700,  42.225,  48.110,  13.364,  24.367,  27.563,   7.656, 95,  0,   2.621,   3.174,   0.882,   5.915,   6.728,   1.869,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:44:572, 160902009163247,    1.143,   32.000, 3700,  58.653,  48.320,  13.422,  32.945,  27.680,   7.689, 92,  0,   3.295,   3.185,   0.885,   6.077,   6.750,   1.875,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.143174
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 48.320007
Cumulative Processor Energy_0 (mWh) = 13.422224
Average Processor Power_0 (Watt) = 42.268301

Cumulative IA Energy_0 (Joules) = 27.680481
Cumulative IA Energy_0 (mWh) = 7.689022
Average IA Power_0 (Watt) = 24.213716

Cumulative DRAM Energy_0 (Joules) = 3.185425
Cumulative DRAM Energy_0 (mWh) = 0.884840
Average DRAM Power_0 (Watt) = 2.786475

Cumulative GT Energy_0 (Joules) = 6.749878
Cumulative GT Energy_0 (mWh) = 1.874966
Average GT Power_0 (Watt) = 5.904508
