System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:34:125, 160878943556762,    0.114,   55.000, 3000,  42.778,   4.874,   1.354,  24.421,   2.782,   0.773, 88,  0,   3.298,   0.376,   0.104,   5.968,   0.680,   0.189,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:34:234, 160879183919074,    0.223,   39.000, 3100,  40.450,   9.277,   2.577,  22.210,   5.200,   1.444, 87,  0,   2.995,   0.702,   0.195,   5.922,   1.325,   0.368,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:34:343, 160879422715029,    0.331,   32.000, 3300,  40.063,  13.610,   3.781,  22.045,   7.584,   2.107, 92,  0,   2.847,   1.010,   0.280,   5.883,   1.961,   0.545,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:34:451, 160879662744728,    0.440,   28.000, 3400,  39.958,  17.954,   4.987,  21.985,   9.974,   2.771, 86,  0,   2.687,   1.302,   0.362,   5.854,   2.597,   0.721,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:34:558, 160879898781573,    0.547,   29.000, 3500,  43.356,  22.588,   6.275,  25.349,  12.684,   3.523, 95,  0,   2.659,   1.586,   0.441,   5.881,   3.226,   0.896,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:34:666, 160880137509497,    0.655,   25.000, 3600,  43.012,  27.239,   7.566,  25.126,  15.400,   4.278, 89,  0,   2.655,   1.873,   0.520,   5.903,   3.864,   1.073,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:34:776, 160880380067350,    0.765,   25.000, 3600,  42.729,  31.933,   8.870,  24.753,  18.120,   5.033, 94,  0,   2.589,   2.157,   0.599,   5.898,   4.512,   1.253,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:34:885, 160880620847502,    0.874,   31.000, 3500,  49.387,  37.318,  10.366,  31.304,  21.533,   5.981, 91,  0,   3.158,   2.502,   0.695,   5.888,   5.154,   1.432,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:35:039, 160880959945723,    1.027,   39.000, 3400,  47.015,  44.539,  12.372,  29.015,  25.989,   7.219, 90,  0,   2.980,   2.960,   0.822,   5.956,   6.069,   1.686,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:35:163, 160881233412774,    1.151,   27.000, 3600,  40.544,  49.560,  13.767,  22.484,  28.774,   7.993, 86,  0,   2.775,   3.303,   0.918,   5.838,   6.792,   1.887,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:35:164, 160881237226555,    1.153,   18.000, 3600,  55.408,  49.656,  13.793,  29.329,  28.825,   8.007, 86,  0,   4.417,   3.311,   0.920,   6.961,   6.804,   1.890,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.152724
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 49.655884
Cumulative Processor Energy_0 (mWh) = 13.793301
Average Processor Power_0 (Watt) = 43.077012

Cumulative IA Energy_0 (Joules) = 28.824768
Cumulative IA Energy_0 (mWh) = 8.006880
Average IA Power_0 (Watt) = 25.005795

Cumulative DRAM Energy_0 (Joules) = 3.310974
Cumulative DRAM Energy_0 (mWh) = 0.919715
Average DRAM Power_0 (Watt) = 2.872306

Cumulative GT Energy_0 (Joules) = 6.803955
Cumulative GT Energy_0 (mWh) = 1.889988
Average GT Power_0 (Watt) = 5.902504
