System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:35:456, 160881881728683,    0.110,   37.000, 3300,  44.757,   4.938,   1.372,  26.596,   2.934,   0.815, 88,  0,   3.061,   0.338,   0.094,   6.007,   0.663,   0.184,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:35:578, 160882149962969,    0.232,   31.000, 3400,  42.313,  10.078,   2.799,  24.413,   5.900,   1.639, 91,  0,   2.795,   0.677,   0.188,   5.921,   1.382,   0.384,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:35:685, 160882386012605,    0.339,   26.000, 3500,  41.981,  14.566,   4.046,  24.028,   8.469,   2.352, 95,  0,   2.660,   0.962,   0.267,   5.911,   2.014,   0.559,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:35:807, 160882655393934,    0.461,   38.000, 3400,  48.685,  20.506,   5.696,  30.495,  12.189,   3.386, 96,  0,   2.984,   1.326,   0.368,   5.970,   2.742,   0.762,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:35:929, 160882924951590,    0.583,   39.000, 3200,  51.702,  26.817,   7.449,  33.580,  16.288,   4.525, 97,  0,   3.170,   1.713,   0.476,   5.881,   3.460,   0.961,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:36:083, 160883266430493,    0.737,   42.000, 3600,  51.292,  34.750,   9.653,  32.858,  21.370,   5.936, 94,  0,   3.303,   2.223,   0.618,   6.013,   4.390,   1.219,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:36:236, 160883602406185,    0.890,   25.000, 3800,  45.403,  41.659,  11.572,  27.451,  25.547,   7.096, 89,  0,   2.627,   2.623,   0.729,   5.941,   5.294,   1.471,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:36:374, 160883907837533,    1.028,   27.000, 3900,  45.911,  48.009,  13.336,  28.140,  29.440,   8.178, 91,  0,   2.625,   2.986,   0.830,   5.664,   6.078,   1.688,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:36:374, 160883909802669,    1.029,   13.000, 3900,  46.016,  48.050,  13.347,  40.324,  29.475,   8.188, 90,  0,   3.566,   2.990,   0.830,   4.458,   6.082,   1.689,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.028830
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 48.050354
Cumulative Processor Energy_0 (mWh) = 13.347321
Average Processor Power_0 (Watt) = 46.703877

Cumulative IA Energy_0 (Joules) = 29.475464
Cumulative IA Energy_0 (mWh) = 8.187629
Average IA Power_0 (Watt) = 28.649496

Cumulative DRAM Energy_0 (Joules) = 2.989502
Cumulative DRAM Energy_0 (mWh) = 0.830417
Average DRAM Power_0 (Watt) = 2.905729

Cumulative GT Energy_0 (Joules) = 6.081543
Cumulative GT Energy_0 (mWh) = 1.689317
Average GT Power_0 (Watt) = 5.911125
