System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:36:697, 160884621058206,    0.127,   50.000, 3400,  43.052,   5.488,   1.524,  25.270,   3.221,   0.895, 92,  0,   3.377,   0.430,   0.120,   5.177,   0.660,   0.183,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:36:805, 160884858807735,    0.235,   28.000, 3500,  41.203,   9.924,   2.757,  24.432,   5.852,   1.626, 90,  0,   2.772,   0.729,   0.202,   4.985,   1.197,   0.332,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:36:928, 160885132515969,    0.359,   41.000, 2700,  42.137,  15.148,   4.208,  24.854,   8.933,   2.481, 90,  0,   3.097,   1.113,   0.309,   4.866,   1.800,   0.500,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:37:052, 160885404246083,    0.482,   39.000, 2900,  36.837,  19.681,   5.467,  18.865,  11.255,   3.126, 88,  0,   2.999,   1.482,   0.412,   5.900,   2.526,   0.702,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:37:174, 160885675201824,    0.605,   28.000, 3200,  35.917,  24.089,   6.691,  17.753,  13.433,   3.731, 85,  0,   2.693,   1.812,   0.503,   5.934,   3.254,   0.904,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:37:285, 160885919194395,    0.715,   24.000, 3400,  37.851,  28.271,   7.853,  20.272,  15.673,   4.354, 86,  0,   2.527,   2.092,   0.581,   5.792,   3.894,   1.082,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:37:394, 160886159241683,    0.824,   26.000, 3500,  42.874,  32.933,   9.148,  24.966,  18.387,   5.108, 97,  0,   2.676,   2.383,   0.662,   5.829,   4.528,   1.258,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:37:533, 160886466245177,    0.963,   39.000, 3100,  45.678,  39.284,  10.912,  27.571,  22.221,   6.172, 97,  0,   2.754,   2.765,   0.768,   5.899,   5.348,   1.486,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:37:657, 160886740015339,    1.087,   29.000, 3600,  42.939,  44.608,  12.391,  24.925,  25.311,   7.031, 91,  0,   2.699,   3.100,   0.861,   5.909,   6.081,   1.689,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:37:765, 160886980251891,    1.196,   18.000, 3800,  39.327,  48.886,  13.580,  21.406,  27.640,   7.678, 90,  0,   2.665,   3.390,   0.942,   5.843,   6.717,   1.866,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:37:811, 160887082730087,    1.242,   85.000, 3500,  61.848,  51.757,  14.377,  44.027,  29.684,   8.245, 97,  0,   3.527,   3.554,   0.987,   5.972,   6.994,   1.943,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.242355
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 51.756958
Cumulative Processor Energy_0 (mWh) = 14.376933
Average Processor Power_0 (Watt) = 41.660365

Cumulative IA Energy_0 (Joules) = 29.683655
Cumulative IA Energy_0 (mWh) = 8.245460
Average IA Power_0 (Watt) = 23.893056

Cumulative DRAM Energy_0 (Joules) = 3.553711
Cumulative DRAM Energy_0 (mWh) = 0.987142
Average DRAM Power_0 (Watt) = 2.860464

Cumulative GT Energy_0 (Joules) = 6.993713
Cumulative GT Energy_0 (mWh) = 1.942698
Average GT Power_0 (Watt) = 5.629401
