System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:40:781, 160893639008156,    0.109,   44.000, 3200,  45.787,   4.990,   1.386,  27.472,   2.994,   0.832, 91,  0,   3.196,   0.348,   0.097,   6.021,   0.656,   0.182,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:40:891, 160893882070596,    0.219,   34.000, 3300,  43.625,   9.792,   2.720,  25.456,   5.796,   1.610, 89,  0,   3.242,   0.705,   0.196,   5.900,   1.306,   0.363,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:41:031, 160894189545867,    0.358,   43.000, 3200,  44.870,  16.041,   4.456,  26.676,   9.511,   2.642, 93,  0,   3.161,   1.145,   0.318,   5.939,   2.133,   0.592,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:41:216, 160894599752080,    0.544,   45.000, 3200,  45.483,  24.490,   6.803,  27.213,  14.567,   4.046, 89,  0,   3.283,   1.755,   0.488,   5.936,   3.235,   0.899,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:41:356, 160894907394696,    0.683,   35.000, 3300,  42.647,  30.432,   8.453,  24.599,  17.994,   4.998, 88,  0,   3.025,   2.177,   0.605,   5.931,   4.062,   1.128,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:41:480, 160895181788411,    0.808,   38.000, 3400,  42.422,  35.704,   9.918,  24.539,  21.043,   5.845, 90,  0,   2.937,   2.542,   0.706,   5.889,   4.794,   1.332,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:41:603, 160895452824300,    0.930,   29.000, 3600,  39.418,  40.543,  11.262,  21.306,  23.659,   6.572, 86,  0,   2.711,   2.875,   0.799,   6.015,   5.532,   1.537,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:41:759, 160895799242545,    1.087,   35.000, 3100,  47.479,  47.992,  13.331,  29.323,  28.259,   7.850, 97,  0,   2.824,   3.318,   0.922,   5.888,   6.456,   1.793,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:41:882, 160896069393571,    1.210,   33.000, 3500,  44.419,  53.427,  14.841,  26.380,  31.487,   8.746, 90,  0,   2.897,   3.672,   1.020,   5.928,   7.181,   1.995,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:41:882, 160896070470997,    1.210,   21.000, 3500,  73.048,  53.462,  14.851,  24.391,  31.499,   8.750, 90,  0,   4.878,   3.675,   1.021,   5.379,   7.184,   1.995,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.210182
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 53.462219
Cumulative Processor Energy_0 (mWh) = 14.850616
Average Processor Power_0 (Watt) = 44.177016

Cumulative IA Energy_0 (Joules) = 31.498901
Cumulative IA Energy_0 (mWh) = 8.749695
Average IA Power_0 (Watt) = 26.028240

Cumulative DRAM Energy_0 (Joules) = 3.674561
Cumulative DRAM Energy_0 (mWh) = 1.020711
Average DRAM Power_0 (Watt) = 3.036371

Cumulative GT Energy_0 (Joules) = 7.183594
Cumulative GT Energy_0 (mWh) = 1.995443
Average GT Power_0 (Watt) = 5.935963
