System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:50:42:146, 160896653448080,    0.108,   59.000, 3300,  48.115,   5.201,   1.445,  29.702,   3.210,   0.892, 95,  0,   3.475,   0.376,   0.104,   6.055,   0.654,   0.182,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:42:257, 160896897400671,    0.219,   30.000, 3900,  51.330,  10.872,   3.020,  33.461,   6.907,   1.919, 93,  0,   2.817,   0.687,   0.191,   5.912,   1.308,   0.363,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:42:379, 160897166793010,    0.341,   30.000, 3900,  48.988,  16.849,   4.680,  30.506,  10.629,   2.953, 95,  0,   2.801,   1.029,   0.286,   5.953,   2.034,   0.565,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:42:502, 160897438988147,    0.464,   27.000, 3700,  47.347,  22.686,   6.302,  29.400,  14.254,   3.959, 92,  0,   2.707,   1.362,   0.378,   5.941,   2.766,   0.768,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:42:641, 160897746163911,    0.603,   26.000, 3700,  45.831,  29.061,   8.073,  27.852,  18.128,   5.036, 92,  0,   2.595,   1.723,   0.479,   5.939,   3.593,   0.998,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:42:748, 160897982822662,    0.710,   24.000, 3600,  45.428,  33.931,   9.425,  27.454,  21.071,   5.853, 88,  0,   2.656,   2.008,   0.558,   5.918,   4.227,   1.174,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:42:871, 160898254146488,    0.833,   38.000, 3400,  49.602,  40.026,  11.118,  31.749,  24.972,   6.937, 96,  0,   2.952,   2.371,   0.659,   5.710,   4.928,   1.369,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:43:026, 160898596632984,    0.988,   58.000, 2600,  47.495,  47.393,  13.165,  29.972,  29.621,   8.228, 98,  0,   3.405,   2.899,   0.805,   5.148,   5.727,   1.591,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:43:166, 160898905351490,    1.128,   45.000, 3300,  45.355,  53.734,  14.926,  27.976,  33.533,   9.315, 95,  0,   3.156,   3.340,   0.928,   5.102,   6.440,   1.789,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:50:43:200, 160898981054537,    1.162,   65.000, 2300,  47.200,  55.352,  15.376,  29.316,  34.538,   9.594, 94,  0,   3.327,   3.454,   0.960,   5.768,   6.638,   1.844,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.162254
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 55.352295
Cumulative Processor Energy_0 (mWh) = 15.375637
Average Processor Power_0 (Watt) = 47.624952

Cumulative IA Energy_0 (Joules) = 34.537842
Cumulative IA Energy_0 (mWh) = 9.593845
Average IA Power_0 (Watt) = 29.716258

Cumulative DRAM Energy_0 (Joules) = 3.454285
Cumulative DRAM Energy_0 (mWh) = 0.959524
Average DRAM Power_0 (Watt) = 2.972056

Cumulative GT Energy_0 (Joules) = 6.638000
Cumulative GT Energy_0 (mWh) = 1.843889
Average GT Power_0 (Watt) = 5.711316
