System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:15:194, 160704662060376,    0.121,   65.000, 3200,  52.536,   6.356,   1.766,  33.718,   4.080,   1.133, 95,  0,   3.775,   0.457,   0.127,   6.193,   0.749,   0.208,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:15:316, 160704931243837,    0.243,   77.000, 3000,  47.387,  12.133,   3.370,  28.638,   7.571,   2.103, 94,  0,   3.957,   0.939,   0.261,   6.022,   1.483,   0.412,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:15:474, 160705279647176,    0.401,   75.000, 3000,  49.689,  19.974,   5.548,  31.488,  12.539,   3.483, 95,  0,   3.450,   1.484,   0.412,   5.832,   2.404,   0.668,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:15:583, 160705521864903,    0.510,   64.000, 3100,  46.552,  25.081,   6.967,  27.966,  15.607,   4.335, 94,  0,   3.512,   1.869,   0.519,   6.051,   3.067,   0.852,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:15:692, 160705761442787,    0.619,   39.000, 3200,  46.199,  30.093,   8.359,  29.259,  18.782,   5.217, 92,  0,   3.066,   2.202,   0.612,   4.960,   3.606,   1.002,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:15:848, 160706104978106,    0.774,   38.000, 3300,  42.433,  36.695,  10.193,  25.599,  22.765,   6.324, 88,  0,   2.506,   2.591,   0.720,   4.690,   4.335,   1.204,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:15:987, 160706411685238,    0.913,   39.000, 3400,  44.234,  42.840,  11.900,  27.449,  26.578,   7.383, 94,  0,   2.520,   2.941,   0.817,   4.836,   5.007,   1.391,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:16:111, 160706685681947,    1.037,   33.000, 3400,  43.188,  48.199,  13.389,  26.960,  29.923,   8.312, 86,  0,   2.346,   3.233,   0.898,   4.274,   5.537,   1.538,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:16:235, 160706959558973,    1.162,   70.000, 3100,  51.720,  54.614,  15.171,  35.187,  34.288,   9.524, 96,  0,   3.419,   3.657,   1.016,   4.254,   6.065,   1.685,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:16:359, 160707233883551,    1.286,   86.000, 2300,  43.342,  59.999,  16.666,  25.109,  37.407,  10.391, 89,  0,   3.953,   4.148,   1.152,   5.648,   6.767,   1.880,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:16:421, 160707371461299,    1.348,  105.000, 2400,  38.749,  62.413,  17.337,  20.235,  38.668,  10.741, 89,  0,   3.984,   4.396,   1.221,   6.050,   7.144,   1.984,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.348070
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 62.413452
Cumulative Processor Energy_0 (mWh) = 17.337070
Average Processor Power_0 (Watt) = 46.298388

Cumulative IA Energy_0 (Joules) = 38.668091
Cumulative IA Energy_0 (mWh) = 10.741136
Average IA Power_0 (Watt) = 28.684045

Cumulative DRAM Energy_0 (Joules) = 4.395935
Cumulative DRAM Energy_0 (mWh) = 1.221093
Average DRAM Power_0 (Watt) = 3.260911

Cumulative GT Energy_0 (Joules) = 7.143738
Cumulative GT Energy_0 (mWh) = 1.984372
Average GT Power_0 (Watt) = 5.299235
