System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:27:298, 160731387234467,    0.109,   41.000, 3300,  46.353,   5.036,   1.399,  27.908,   3.032,   0.842, 90,  0,   3.178,   0.345,   0.096,   6.001,   0.652,   0.181,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:27:407, 160731628109206,    0.218,   40.000, 3300,  45.583,  10.009,   2.780,  27.249,   6.005,   1.668, 92,  0,   3.273,   0.702,   0.195,   5.990,   1.305,   0.363,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:27:531, 160731901809214,    0.342,   23.000, 3500,  37.995,  14.719,   4.089,  20.311,   8.523,   2.367, 89,  0,   2.263,   0.983,   0.273,   5.676,   2.009,   0.558,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:27:654, 160732173388952,    0.465,   19.000, 3700,  40.454,  19.695,   5.471,  23.172,  11.373,   3.159, 86,  0,   2.105,   1.242,   0.345,   5.558,   2.693,   0.748,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:27:778, 160732446454680,    0.588,   25.000, 3000,  45.228,  25.288,   7.024,  27.089,  14.723,   4.090, 97,  0,   2.652,   1.570,   0.436,   5.926,   3.426,   0.952,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:27:917, 160732754209689,    0.728,   30.000, 3600,  48.687,  32.074,   8.909,  30.776,  19.012,   5.281, 96,  0,   2.766,   1.955,   0.543,   5.973,   4.258,   1.183,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:28:072, 160733095731997,    0.882,   44.000, 3500,  46.338,  39.241,  10.900,  28.151,  23.367,   6.491, 90,  0,   3.026,   2.423,   0.673,   5.890,   5.169,   1.436,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:28:227, 160733439860612,    1.038,   37.000, 3400,  46.897,  46.550,  12.931,  28.709,  27.841,   7.734, 89,  0,   2.969,   2.886,   0.802,   5.949,   6.096,   1.693,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:28:351, 160733712208668,    1.162,   18.000, 3600,  35.483,  50.927,  14.146,  18.418,  30.113,   8.365, 86,  0,   1.901,   3.121,   0.867,   5.414,   6.764,   1.879,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:28:356, 160733723579427,    1.167,   24.000, 3600,  56.676,  51.219,  14.227,  41.186,  30.325,   8.424, 90,  0,   4.006,   3.141,   0.873,   6.447,   6.797,   1.888,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.166775
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 51.218994
Cumulative Processor Energy_0 (mWh) = 14.227498
Average Processor Power_0 (Watt) = 43.897900

Cumulative IA Energy_0 (Joules) = 30.324890
Cumulative IA Energy_0 (mWh) = 8.423581
Average IA Power_0 (Watt) = 25.990339

Cumulative DRAM Energy_0 (Joules) = 3.141235
Cumulative DRAM Energy_0 (mWh) = 0.872565
Average DRAM Power_0 (Watt) = 2.692236

Cumulative GT Energy_0 (Joules) = 6.797485
Cumulative GT Energy_0 (mWh) = 1.888190
Average GT Power_0 (Watt) = 5.825873
