System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:16:903, 160708435116521,    0.143,   69.000, 2900,  42.122,   6.027,   1.674,  22.982,   3.288,   0.913, 89,  0,   3.744,   0.536,   0.149,   6.613,   0.946,   0.263,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:17:026, 160708707850726,    0.267,   49.000, 3000,  42.746,  11.307,   3.141,  23.747,   6.221,   1.728, 92,  0,   3.400,   0.956,   0.265,   6.456,   1.744,   0.484,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:17:153, 160708986714886,    0.393,   50.000, 3000,  42.809,  16.714,   4.643,  24.956,   9.373,   2.604, 89,  0,   2.806,   1.310,   0.364,   5.874,   2.485,   0.690,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:17:277, 160709262199043,    0.518,   73.000, 3000,  47.701,  22.665,   6.296,  29.093,  13.003,   3.612, 90,  0,   3.632,   1.763,   0.490,   6.023,   3.237,   0.899,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:17:399, 160709530291636,    0.639,   63.000, 2900,  45.234,  28.157,   7.821,  26.951,  16.276,   4.521, 94,  0,   3.625,   2.203,   0.612,   6.015,   3.967,   1.102,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:17:522, 160709803011691,    0.763,   54.000, 3000,  43.798,  33.567,   9.324,  25.478,  19.422,   5.395, 92,  0,   3.265,   2.607,   0.724,   5.856,   4.690,   1.303,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:17:662, 160710110719743,    0.902,   73.000, 2900,  45.267,  39.875,  11.077,  26.480,  23.113,   6.420, 90,  0,   3.635,   3.113,   0.865,   6.390,   5.581,   1.550,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:17:771, 160710351413188,    1.011,   45.000, 3000,  44.059,  44.678,  12.411,  25.642,  25.908,   7.197, 91,  0,   3.560,   3.501,   0.973,   6.021,   6.237,   1.733,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:17:924, 160710689128570,    1.164,   49.000, 3100,  42.617,  51.197,  14.221,  24.116,  29.596,   8.221, 89,  0,   3.066,   3.970,   1.103,   6.218,   7.188,   1.997,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:18:078, 160711029732396,    1.318,   39.000, 3200,  42.352,  57.730,  16.036,  23.716,  33.255,   9.237, 92,  0,   2.974,   4.429,   1.230,   6.487,   8.189,   2.275,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:18:233, 160711372078823,    1.473,   43.000, 3300,  41.518,  64.167,  17.824,  22.092,  36.680,  10.189, 87,  0,   3.343,   4.947,   1.374,   7.059,   9.284,   2.579,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:18:234, 160711374259459,    1.474,   26.000, 3300,  47.278,  64.214,  17.837,  29.974,  36.710,  10.197, 87,  0,   4.264,   4.952,   1.375,   4.944,   9.288,   2.580,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.474210
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 64.213745
Cumulative Processor Energy_0 (mWh) = 17.837151
Average Processor Power_0 (Watt) = 43.558060

Cumulative IA Energy_0 (Joules) = 36.709839
Cumulative IA Energy_0 (mWh) = 10.197177
Average IA Power_0 (Watt) = 24.901357

Cumulative DRAM Energy_0 (Joules) = 4.951538
Cumulative DRAM Energy_0 (mWh) = 1.375427
Average DRAM Power_0 (Watt) = 3.358773

Cumulative GT Energy_0 (Joules) = 9.288391
Cumulative GT Energy_0 (mWh) = 2.580109
Average GT Power_0 (Watt) = 6.300587
