System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:18:511, 160711985306403,    0.113,   52.000, 3500,  47.709,   5.394,   1.498,  29.236,   3.305,   0.918, 94,  0,   3.341,   0.378,   0.105,   6.129,   0.693,   0.192,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:18:621, 160712228504434,    0.223,   41.000, 3400,  47.621,  10.639,   2.955,  29.532,   6.558,   1.822, 94,  0,   2.976,   0.705,   0.196,   5.994,   1.353,   0.376,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:18:759, 160712534558179,    0.362,   47.000, 3000,  42.635,  16.549,   4.597,  22.518,   9.679,   2.689, 90,  0,   3.702,   1.219,   0.338,   7.394,   2.378,   0.661,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:18:916, 160712879689654,    0.518,   66.000, 3000,  44.356,  23.482,   6.523,  24.351,  13.486,   3.746, 89,  0,   3.747,   1.804,   0.501,   7.513,   3.552,   0.987,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:19:038, 160713149478837,    0.640,   28.000, 3200,  38.396,  28.173,   7.826,  20.323,  15.969,   4.436, 88,  0,   2.547,   2.115,   0.588,   6.093,   4.297,   1.194,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:19:179, 160713461835495,    0.782,   41.000, 3300,  44.435,  34.459,   9.572,  25.044,  19.512,   5.420, 92,  0,   3.279,   2.579,   0.716,   6.852,   5.266,   1.463,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:19:350, 160713837756174,    0.952,   73.000, 3000,  49.435,  42.876,  11.910,  29.351,  24.509,   6.808, 94,  0,   3.906,   3.244,   0.901,   7.469,   6.538,   1.816,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:19:488, 160714143821821,    1.091,   33.000, 3200,  40.678,  48.514,  13.476,  22.623,  27.645,   7.679, 92,  0,   2.512,   3.593,   0.998,   5.937,   7.361,   2.045,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:19:659, 160714521600089,    1.262,   45.000, 3300,  43.423,  55.944,  15.540,  26.018,  32.096,   8.916, 90,  0,   2.727,   4.059,   1.128,   5.422,   8.288,   2.302,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:19:782, 160714792958117,    1.385,   34.000, 3200,  44.963,  61.470,  17.075,  25.622,  35.245,   9.790, 87,  0,   3.285,   4.463,   1.240,   6.952,   9.143,   2.540,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:19:844, 160714929298339,    1.446,   58.000, 3000,  38.049,  63.819,  17.728,  18.255,  36.372,  10.103, 88,  0,   3.644,   4.688,   1.302,   7.707,   9.619,   2.672,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.446385
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 63.819153
Cumulative Processor Energy_0 (mWh) = 17.727542
Average Processor Power_0 (Watt) = 44.123224

Cumulative IA Energy_0 (Joules) = 36.372253
Cumulative IA Energy_0 (mWh) = 10.103404
Average IA Power_0 (Watt) = 25.147014

Cumulative DRAM Energy_0 (Joules) = 4.687805
Cumulative DRAM Energy_0 (mWh) = 1.302168
Average DRAM Power_0 (Watt) = 3.241050

Cumulative GT Energy_0 (Joules) = 9.618774
Cumulative GT Energy_0 (mWh) = 2.671882
Average GT Power_0 (Watt) = 6.650219
