System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:20:138, 160715578907874,    0.101,   38.000, 3300,  46.637,   4.715,   1.310,  27.775,   2.808,   0.780, 90,  0,   3.309,   0.335,   0.093,   6.576,   0.665,   0.185,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:20:292, 160715917853605,    0.255,   78.000, 3100,  49.812,  12.361,   3.434,  29.727,   7.371,   2.048, 92,  0,   3.841,   0.924,   0.257,   7.568,   1.827,   0.507,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:20:414, 160716187319171,    0.377,   31.000, 3200,  39.819,  17.221,   4.784,  22.314,  10.095,   2.804, 89,  0,   2.104,   1.181,   0.328,   5.663,   2.518,   0.699,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:20:552, 160716491809950,    0.515,   17.000, 3600,  35.974,  22.182,   6.162,  18.672,  12.669,   3.519, 85,  0,   1.790,   1.428,   0.397,   5.470,   3.272,   0.909,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:20:707, 160716834208299,    0.670,   18.000, 3800,  39.459,  28.301,   7.861,  22.466,  16.153,   4.487, 90,  0,   1.701,   1.691,   0.470,   5.386,   4.107,   1.141,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:20:815, 160717072251486,    0.777,   19.000, 3900,  43.903,  33.034,   9.176,  26.494,  19.010,   5.280, 90,  0,   1.878,   1.894,   0.526,   5.547,   4.705,   1.307,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:20:941, 160717350086637,    0.903,   16.000, 3900,  40.927,  38.184,  10.607,  23.724,  21.995,   6.110, 95,  0,   1.777,   2.117,   0.588,   5.402,   5.385,   1.496,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:21:094, 160717688399185,    1.056,   11.000, 2200,  32.551,  43.171,  11.992,  15.624,  24.389,   6.775, 83,  0,   1.519,   2.350,   0.653,   5.284,   6.195,   1.721,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:21:095, 160717692404213,    1.058,   19.000, 2200,  27.794,  43.222,  12.006,   8.715,  24.404,   6.779, 83,  0,   1.851,   2.354,   0.654,   5.115,   6.204,   1.723,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.058295
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.221802
Cumulative Processor Energy_0 (mWh) = 12.006056
Average Processor Power_0 (Watt) = 40.840985

Cumulative IA Energy_0 (Joules) = 24.404419
Cumulative IA Energy_0 (mWh) = 6.779005
Average IA Power_0 (Watt) = 23.060133

Cumulative DRAM Energy_0 (Joules) = 2.353638
Cumulative DRAM Energy_0 (mWh) = 0.653788
Average DRAM Power_0 (Watt) = 2.223991

Cumulative GT Energy_0 (Joules) = 6.204102
Cumulative GT Energy_0 (mWh) = 1.723362
Average GT Power_0 (Watt) = 5.862357
