System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:21:344, 160718240961489,    0.125,   48.000, 3400,  50.744,   6.339,   1.761,  32.761,   4.092,   1.137, 96,  0,   3.011,   0.376,   0.104,   5.780,   0.722,   0.201,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:21:482, 160718547029479,    0.264,   46.000, 3400,  50.343,  13.317,   3.699,  31.405,   8.445,   2.346, 95,  0,   3.124,   0.809,   0.225,   6.529,   1.627,   0.452,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:21:607, 160718820780014,    0.388,   36.000, 3700,  47.739,  19.236,   5.343,  27.519,  11.857,   3.294, 90,  0,   3.547,   1.249,   0.347,   7.607,   2.570,   0.714,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:21:728, 160719088536040,    0.509,   17.000, 3100,  41.966,  24.325,   6.757,  24.881,  14.875,   4.132, 97,  0,   1.730,   1.459,   0.405,   5.417,   3.227,   0.896,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:21:853, 160719364865822,    0.634,   25.000, 3300,  44.445,  29.887,   8.302,  26.979,  18.251,   5.070, 98,  0,   2.111,   1.723,   0.479,   5.699,   3.940,   1.095,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:21:963, 160719607433315,    0.744,   32.000, 3300,  47.914,  35.151,   9.764,  29.753,  21.520,   5.978, 95,  0,   2.815,   2.032,   0.565,   5.941,   4.593,   1.276,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:22:103, 160719916979782,    0.884,   33.000, 3800,  49.533,  42.095,  11.693,  31.707,  25.965,   7.212, 94,  0,   2.503,   2.383,   0.662,   5.898,   5.420,   1.505,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:22:211, 160720155056738,    0.992,   22.000, 3800,  45.845,  47.038,  13.066,  27.888,  28.972,   8.048, 96,  0,   2.368,   2.639,   0.733,   5.778,   6.043,   1.679,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:22:215, 160720164976823,    0.996,   58.000, 3800,  52.018,  47.272,  13.131,  30.730,  29.110,   8.086, 93,  0,   3.383,   2.654,   0.737,   6.399,   6.072,   1.687,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.996292
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 47.271729
Cumulative Processor Energy_0 (mWh) = 13.131036
Average Processor Power_0 (Watt) = 47.447664

Cumulative IA Energy_0 (Joules) = 29.109741
Cumulative IA Energy_0 (mWh) = 8.086039
Average IA Power_0 (Watt) = 29.218082

Cumulative DRAM Energy_0 (Joules) = 2.653748
Cumulative DRAM Energy_0 (mWh) = 0.737152
Average DRAM Power_0 (Watt) = 2.663624

Cumulative GT Energy_0 (Joules) = 6.071533
Cumulative GT Energy_0 (mWh) = 1.686537
Average GT Power_0 (Watt) = 6.094130
