System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:23:631, 160723289733483,    0.111,   44.000, 3100,  42.029,   4.652,   1.292,  24.003,   2.656,   0.738, 90,  0,   2.830,   0.313,   0.087,   5.808,   0.643,   0.179,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:23:739, 160723528499822,    0.219,   43.000, 3100,  43.022,   9.304,   2.584,  24.871,   5.346,   1.485, 92,  0,   3.052,   0.643,   0.179,   6.016,   1.293,   0.359,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:23:848, 160723770169114,    0.328,   34.000, 3200,  40.805,  13.770,   3.825,  23.049,   7.869,   2.186, 86,  0,   2.647,   0.933,   0.259,   5.771,   1.925,   0.535,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:23:956, 160724008984588,    0.436,   22.000, 3400,  37.471,  17.823,   4.951,  20.169,  10.050,   2.792, 85,  0,   1.803,   1.128,   0.313,   5.368,   2.505,   0.696,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:24:064, 160724247989641,    0.545,   28.000, 3600,  43.510,  22.532,   6.259,  25.993,  12.864,   3.573, 91,  0,   2.261,   1.373,   0.381,   5.735,   3.126,   0.868,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:24:174, 160724489755073,    0.654,   33.000, 3500,  46.084,  27.578,   7.661,  28.249,  15.957,   4.432, 88,  0,   2.761,   1.675,   0.465,   5.908,   3.773,   1.048,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:24:282, 160724727874490,    0.762,   28.000, 3500,  43.308,  32.249,   8.958,  25.190,  18.673,   5.187, 89,  0,   2.622,   1.958,   0.544,   5.974,   4.417,   1.227,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:24:449, 160725096591708,    0.929,   43.000, 3300,  50.225,  40.636,  11.288,  32.013,  24.019,   6.672, 96,  0,   3.176,   2.488,   0.691,   5.926,   5.407,   1.502,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:24:635, 160725506857789,    1.115,   45.000, 3300,  44.378,  48.882,  13.578,  26.234,  28.894,   8.026, 92,  0,   3.022,   3.050,   0.847,   5.885,   6.500,   1.806,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:24:680, 160725607579459,    1.160,  232.000, 3300,  44.367,  50.906,  14.140,  25.405,  30.053,   8.348, 89,  0,   3.412,   3.205,   0.890,   5.934,   6.771,   1.881,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.160419
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 50.905762
Cumulative Processor Energy_0 (mWh) = 14.140489
Average Processor Power_0 (Watt) = 43.868421

Cumulative IA Energy_0 (Joules) = 30.052734
Cumulative IA Energy_0 (mWh) = 8.347982
Average IA Power_0 (Watt) = 25.898169

Cumulative DRAM Energy_0 (Joules) = 3.205261
Cumulative DRAM Energy_0 (mWh) = 0.890350
Average DRAM Power_0 (Watt) = 2.762158

Cumulative GT Energy_0 (Joules) = 6.771118
Cumulative GT Energy_0 (mWh) = 1.880866
Average GT Power_0 (Watt) = 5.835062
