System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:24:960, 160726224461609,    0.105,   31.000, 3100,  39.212,   4.127,   1.146,  21.515,   2.265,   0.629, 86,  0,   2.432,   0.256,   0.071,   5.796,   0.610,   0.169,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:25:068, 160726463339427,    0.213,   26.000, 3400,  38.721,   8.316,   2.310,  21.637,   4.605,   1.279, 94,  0,   2.048,   0.478,   0.133,   5.452,   1.200,   0.333,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:25:178, 160726705589240,    0.323,   29.000, 3500,  43.173,  13.053,   3.626,  25.708,   7.426,   2.063, 90,  0,   2.029,   0.700,   0.195,   5.465,   1.799,   0.500,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:25:284, 160726940140312,    0.429,   20.000, 3600,  39.656,  17.266,   4.796,  22.629,   9.830,   2.731, 95,  0,   1.847,   0.896,   0.249,   5.369,   2.370,   0.658,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:25:409, 160727216181428,    0.554,   29.000, 3600,  46.504,  23.079,   6.411,  28.933,  13.447,   3.735, 90,  0,   2.499,   1.209,   0.336,   5.664,   3.078,   0.855,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:25:532, 160727489773119,    0.678,   32.000, 3500,  46.144,  28.797,   7.999,  28.023,  16.919,   4.700, 96,  0,   2.626,   1.534,   0.426,   5.955,   3.816,   1.060,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:25:641, 160727728436501,    0.786,   13.000, 3800,  35.113,  32.592,   9.053,  18.092,  18.875,   5.243, 85,  0,   1.589,   1.706,   0.474,   5.406,   4.400,   1.222,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:25:765, 160728002638733,    0.911,   24.000, 3000,  45.004,  38.181,  10.606,  27.523,  22.293,   6.192, 86,  0,   2.197,   1.979,   0.550,   5.606,   5.096,   1.416,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:25:766, 160728005100741,    0.912,   17.000, 3000,  32.843,  38.218,  10.616,  22.114,  22.318,   6.199, 86,  0,   3.175,   1.982,   0.551,   5.091,   5.102,   1.417,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.911701
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 38.217896
Cumulative Processor Energy_0 (mWh) = 10.616082
Average Processor Power_0 (Watt) = 41.919338

Cumulative IA Energy_0 (Joules) = 22.317566
Cumulative IA Energy_0 (mWh) = 6.199324
Average IA Power_0 (Watt) = 24.479045

Cumulative DRAM Energy_0 (Joules) = 1.982422
Cumulative DRAM Energy_0 (mWh) = 0.550673
Average DRAM Power_0 (Watt) = 2.174421

Cumulative GT Energy_0 (Joules) = 5.101990
Cumulative GT Energy_0 (mWh) = 1.417219
Average GT Power_0 (Watt) = 5.596123
