System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:49:26:027, 160728581286680,    0.109,   28.000, 3500,  45.160,   4.923,   1.368,  27.405,   2.988,   0.830, 89,  0,   2.498,   0.272,   0.076,   5.749,   0.627,   0.174,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:26:166, 160728888344201,    0.248,   27.000, 3100,  47.850,  11.578,   3.216,  29.773,   7.128,   1.980, 97,  0,   2.627,   0.638,   0.177,   5.955,   1.455,   0.404,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:26:291, 160729163161843,    0.373,   21.000, 3900,  43.764,  17.025,   4.729,  26.329,  10.405,   2.890, 94,  0,   1.970,   0.883,   0.245,   5.514,   2.141,   0.595,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:26:398, 160729400715093,    0.480,   33.000, 3700,  46.933,  22.074,   6.132,  29.602,  13.590,   3.775, 96,  0,   2.896,   1.194,   0.332,   5.449,   2.727,   0.758,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:26:508, 160729642325591,    0.590,   28.000, 3900,  44.059,  26.895,   7.471,  26.588,  16.499,   4.583, 92,  0,   2.761,   1.497,   0.416,   5.159,   3.292,   0.914,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:26:616, 160729881393075,    0.698,   26.000, 3900,  44.098,  31.670,   8.797,  26.930,  19.415,   5.393, 93,  0,   2.668,   1.785,   0.496,   5.206,   3.856,   1.071,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:26:739, 160730154389976,    0.821,   36.000, 3200,  49.305,  37.766,  10.491,  31.122,  23.263,   6.462, 96,  0,   3.191,   2.180,   0.606,   5.692,   4.559,   1.267,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:26:878, 160730461304986,    0.960,   46.000, 3800,  48.254,  44.473,  12.354,  31.092,  27.585,   7.662, 94,  0,   3.105,   2.612,   0.725,   4.916,   5.243,   1.456,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:26:988, 160730702903244,    1.070,   21.000, 3100,  39.723,  48.820,  13.561,  22.649,  30.063,   8.351, 86,  0,   2.607,   2.897,   0.805,   5.059,   5.796,   1.610,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:49:26:989, 160730706354925,    1.071,   17.000, 3100,  40.722,  48.883,  13.579,  14.134,  30.085,   8.357, 86,  0,   3.670,   2.903,   0.806,   8.629,   5.810,   1.614,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.071453
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 48.883301
Cumulative Processor Energy_0 (mWh) = 13.578695
Average Processor Power_0 (Watt) = 45.623363

Cumulative IA Energy_0 (Joules) = 30.085144
Cumulative IA Energy_0 (mWh) = 8.356984
Average IA Power_0 (Watt) = 28.078821

Cumulative DRAM Energy_0 (Joules) = 2.902588
Cumulative DRAM Energy_0 (mWh) = 0.806274
Average DRAM Power_0 (Watt) = 2.709020

Cumulative GT Energy_0 (Joules) = 5.809753
Cumulative GT Energy_0 (mWh) = 1.613820
Average GT Power_0 (Watt) = 5.422312
