System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:06:226, 160552379470203,    0.106,   45.000, 3600,  47.257,   4.998,   1.388,  29.302,   3.099,   0.861, 92,  0,   2.723,   0.288,   0.080,   5.750,   0.608,   0.169,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:06:333, 160552616824148,    0.213,   30.000, 3800,  49.002,  10.265,   2.851,  32.070,   6.546,   1.818, 94,  0,   2.072,   0.511,   0.142,   5.466,   1.196,   0.332,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:06:441, 160552853997633,    0.321,   25.000, 3900,  49.733,  15.607,   4.335,  32.150,  10.000,   2.778, 90,  0,   1.992,   0.725,   0.201,   5.470,   1.783,   0.495,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:06:547, 160553088975459,    0.427,   18.000, 3900,  45.567,  20.457,   5.682,  28.534,  13.036,   3.621, 87,  0,   1.736,   0.910,   0.253,   5.383,   2.356,   0.654,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:06:655, 160553326717665,    0.535,   15.000, 3900,  37.895,  24.537,   6.816,  20.809,  15.277,   4.244, 85,  0,   1.638,   1.086,   0.302,   5.323,   2.929,   0.814,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:06:763, 160553565462823,    0.643,   19.000, 3900,  43.341,  29.223,   8.118,  26.386,  18.130,   5.036, 94,  0,   1.757,   1.276,   0.354,   5.315,   3.504,   0.973,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:06:886, 160553838396956,    0.767,   22.000, 3900,  48.420,  35.209,   9.780,  31.060,  21.969,   6.103, 97,  0,   2.244,   1.553,   0.431,   5.362,   4.167,   1.157,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:07:041, 160554179648356,    0.921,   20.000, 3700,  43.450,  41.924,  11.645,  26.257,  26.027,   7.230, 96,  0,   2.296,   1.908,   0.530,   5.366,   4.996,   1.388,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:07:041, 160554181380347,    0.922,   25.000, 3700,  66.527,  41.976,  11.660,  40.617,  26.059,   7.239, 95,  0,   2.879,   1.910,   0.531,   4.980,   5.000,   1.389,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.921837
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 41.975952
Cumulative Processor Energy_0 (mWh) = 11.659987
Average Processor Power_0 (Watt) = 45.535126

Cumulative IA Energy_0 (Joules) = 26.059265
Cumulative IA Energy_0 (mWh) = 7.238685
Average IA Power_0 (Watt) = 28.268851

Cumulative DRAM Energy_0 (Joules) = 1.910400
Cumulative DRAM Energy_0 (mWh) = 0.530667
Average DRAM Power_0 (Watt) = 2.072385

Cumulative GT Energy_0 (Joules) = 5.000000
Cumulative GT Energy_0 (mWh) = 1.388889
Average GT Power_0 (Watt) = 5.423954
