System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:07:317, 160554788320552,    0.111,   32.000, 3600,  44.057,   4.911,   1.364,  25.993,   2.898,   0.805, 90,  0,   2.606,   0.290,   0.081,   5.849,   0.652,   0.181,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:07:458, 160555099783926,    0.253,   22.000, 3900,  41.616,  10.782,   2.995,  24.413,   6.341,   1.761, 87,  0,   1.958,   0.567,   0.157,   5.445,   1.420,   0.394,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:07:567, 160555340636871,    0.362,   20.000, 3900,  45.922,  15.791,   4.386,  28.863,   9.490,   2.636, 88,  0,   1.788,   0.762,   0.212,   5.410,   2.010,   0.558,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:07:674, 160555577160473,    0.469,   19.000, 3100,  47.062,  20.832,   5.787,  30.002,  12.703,   3.529, 97,  0,   1.777,   0.952,   0.264,   5.373,   2.586,   0.718,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:07:826, 160555913893839,    0.621,   35.000, 3600,  45.648,  27.794,   7.721,  28.334,  17.025,   4.729, 96,  0,   2.093,   1.271,   0.353,   5.377,   3.406,   0.946,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:07:967, 160556223733420,    0.762,   29.000, 3600,  48.964,  34.665,   9.629,  31.841,  21.493,   5.970, 93,  0,   2.093,   1.565,   0.435,   5.427,   4.167,   1.158,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:08:089, 160556493014687,    0.884,   28.000, 3500,  45.103,  40.165,  11.157,  27.904,  24.896,   6.916, 95,  0,   1.998,   1.809,   0.502,   5.373,   4.823,   1.340,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:08:089, 160556494524577,    0.884,   27.000, 3500,   0.000,  40.165,  11.157,  25.527,  24.913,   6.920, 95,  0,   0.000,   1.809,   0.502,   4.552,   4.826,   1.340,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.884209
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 40.165405
Cumulative Processor Energy_0 (mWh) = 11.157057
Average Processor Power_0 (Watt) = 45.425247

Cumulative IA Energy_0 (Joules) = 24.913391
Cumulative IA Energy_0 (mWh) = 6.920386
Average IA Power_0 (Watt) = 28.175912

Cumulative DRAM Energy_0 (Joules) = 1.808594
Cumulative DRAM Energy_0 (mWh) = 0.502387
Average DRAM Power_0 (Watt) = 2.045437

Cumulative GT Energy_0 (Joules) = 4.825684
Cumulative GT Energy_0 (mWh) = 1.340468
Average GT Power_0 (Watt) = 5.457629
