System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:13:928, 160569385726335,    0.112,   47.000, 3600,  49.132,   5.483,   1.523,  30.912,   3.450,   0.958, 92,  0,   2.943,   0.328,   0.091,   5.855,   0.653,   0.182,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:14:037, 160569626401300,    0.221,   34.000, 3200,  48.372,  10.756,   2.988,  30.862,   6.814,   1.893, 92,  0,   2.317,   0.581,   0.161,   5.594,   1.263,   0.351,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:14:144, 160569862383086,    0.327,   19.000, 3700,  36.571,  14.665,   4.074,  19.429,   8.890,   2.470, 89,  0,   1.750,   0.768,   0.213,   5.380,   1.838,   0.511,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:14:282, 160570167606037,    0.466,   20.000, 3900,  40.417,  20.252,   5.625,  23.355,  12.119,   3.366, 86,  0,   1.846,   1.023,   0.284,   5.385,   2.583,   0.717,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:14:407, 160570444335853,    0.591,   16.000, 3900,  39.478,  25.199,   7.000,  22.656,  14.958,   4.155, 87,  0,   1.665,   1.232,   0.342,   5.335,   3.251,   0.903,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:14:514, 160570680985351,    0.698,   15.000, 3900,  41.458,  29.643,   8.234,  24.090,  17.540,   4.872, 89,  0,   1.592,   1.402,   0.390,   5.307,   3.820,   1.061,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:14:639, 160570955680828,    0.823,   16.000, 3900,  40.833,  34.723,   9.645,  23.899,  20.514,   5.698, 85,  0,   1.778,   1.624,   0.451,   5.337,   4.484,   1.246,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:14:778, 160571263067004,    0.962,   11.000, 2400,  32.505,  39.248,  10.902,  15.561,  22.680,   6.300, 83,  0,   1.537,   1.838,   0.510,   5.277,   5.219,   1.450,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:14:779, 160571266011219,    0.963,   15.000, 2400,  18.401,  39.273,  10.909,   9.795,  22.693,   6.304, 84,  0,   1.282,   1.839,   0.511,   4.669,   5.225,   1.451,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.963181
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 39.272522
Cumulative Processor Energy_0 (mWh) = 10.909034
Average Processor Power_0 (Watt) = 40.773769

Cumulative IA Energy_0 (Joules) = 22.693054
Cumulative IA Energy_0 (mWh) = 6.303626
Average IA Power_0 (Watt) = 23.560528

Cumulative DRAM Energy_0 (Joules) = 1.839294
Cumulative DRAM Energy_0 (mWh) = 0.510915
Average DRAM Power_0 (Watt) = 1.909604

Cumulative GT Energy_0 (Joules) = 5.224792
Cumulative GT Energy_0 (mWh) = 1.451331
Average GT Power_0 (Watt) = 5.424518
