System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:39:189, 160625161992838,    0.110,   39.000, 3100,  50.199,   5.546,   1.541,  31.501,   3.480,   0.967, 95,  0,   3.171,   0.350,   0.097,   6.272,   0.693,   0.192,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:39:297, 160625400253128,    0.218,   28.000, 3800,  43.309,  10.220,   2.839,  25.983,   6.284,   1.746, 91,  0,   2.036,   0.570,   0.158,   5.496,   1.286,   0.357,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:39:404, 160625636912377,    0.326,   20.000, 3900,  41.362,  14.653,   4.070,  24.076,   8.865,   2.462, 90,  0,   1.920,   0.776,   0.216,   5.576,   1.884,   0.523,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:39:512, 160625875554238,    0.434,   18.000, 3900,  44.887,  19.504,   5.418,  27.416,  11.828,   3.286, 88,  0,   2.084,   1.001,   0.278,   5.674,   2.497,   0.694,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:39:650, 160626179552187,    0.571,   28.000, 3800,  47.851,  26.093,   7.248,  30.317,  16.002,   4.445, 93,  0,   2.093,   1.289,   0.358,   5.525,   3.258,   0.905,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:39:758, 160626418819280,    0.680,   20.000, 3500,  43.092,  30.762,   8.545,  25.915,  18.810,   5.225, 96,  0,   2.038,   1.510,   0.420,   5.447,   3.848,   1.069,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:39:881, 160626689694364,    0.802,   35.000, 3700,  51.543,  37.085,  10.301,  34.019,  22.984,   6.384, 93,  0,   2.361,   1.800,   0.500,   5.524,   4.526,   1.257,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:40:018, 160626993014261,    0.940,   30.000, 3200,  42.538,  42.929,  11.925,  25.140,  26.437,   7.344, 95,  0,   2.422,   2.133,   0.592,   5.532,   5.285,   1.468,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:40:034, 160627030102843,    0.957,   53.000, 3700,  43.669,  43.662,  12.128,  26.115,  26.876,   7.466, 92,  0,   2.758,   2.179,   0.605,   5.534,   5.378,   1.494,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.956550
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.662354
Cumulative Processor Energy_0 (mWh) = 12.128432
Average Processor Power_0 (Watt) = 45.645661

Cumulative IA Energy_0 (Joules) = 26.875854
Cumulative IA Energy_0 (mWh) = 7.465515
Average IA Power_0 (Watt) = 28.096656

Cumulative DRAM Energy_0 (Joules) = 2.178955
Cumulative DRAM Energy_0 (mWh) = 0.605265
Average DRAM Power_0 (Watt) = 2.277931

Cumulative GT Energy_0 (Joules) = 5.378418
Cumulative GT Energy_0 (mWh) = 1.494005
Average GT Power_0 (Watt) = 5.622726
