System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:50:738, 160650661933878,    0.110,   60.000, 3300,  47.462,   5.221,   1.450,  28.766,   3.164,   0.879, 94,  0,   3.274,   0.360,   0.100,   6.347,   0.698,   0.194,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:50:847, 160650904118222,    0.220,   40.000, 3300,  46.087,  10.276,   2.854,  28.514,   6.292,   1.748, 92,  0,   2.579,   0.643,   0.179,   5.856,   1.340,   0.372,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:50:956, 160651144254987,    0.328,   48.000, 3200,  48.432,  15.543,   4.318,  29.427,   9.492,   2.637, 94,  0,   3.538,   1.028,   0.285,   6.486,   2.046,   0.568,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:51:064, 160651382661221,    0.436,   34.000, 3200,  42.639,  20.147,   5.596,  25.244,  12.218,   3.394, 88,  0,   2.308,   1.277,   0.355,   5.492,   2.639,   0.733,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:51:172, 160651620981315,    0.544,   34.000, 3300,  42.428,  24.727,   6.869,  24.943,  14.910,   4.142, 90,  0,   2.594,   1.557,   0.432,   5.457,   3.228,   0.897,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:51:280, 160651859260430,    0.652,   34.000, 3300,  44.240,  29.501,   8.195,  26.271,  17.745,   4.929, 93,  0,   2.673,   1.845,   0.513,   5.883,   3.863,   1.073,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:51:405, 160652135088706,    0.777,   50.000, 3200,  47.701,  35.460,   9.850,  28.673,  21.327,   5.924, 92,  0,   3.571,   2.292,   0.637,   6.578,   4.684,   1.301,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:51:529, 160652409161721,    0.901,   49.000, 3200,  46.123,  41.185,  11.440,  27.036,  24.683,   6.856, 92,  0,   3.560,   2.733,   0.759,   6.621,   5.506,   1.530,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:51:637, 160652649022297,    1.010,   50.000, 3200,  46.504,  46.237,  12.844,  27.085,  27.625,   7.674, 91,  0,   3.656,   3.131,   0.870,   6.830,   6.248,   1.736,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:51:762, 160652923497172,    1.134,   56.000, 3100,  46.616,  52.031,  14.453,  26.250,  30.888,   8.580, 93,  0,   3.951,   3.622,   1.006,   7.810,   7.219,   2.005,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:51:884, 160653194076636,    1.257,   52.000, 3000,  45.812,  57.645,  16.013,  25.138,  33.969,   9.436, 90,  0,   3.861,   4.095,   1.137,   7.896,   8.187,   2.274,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:51:905, 160653239982524,    1.278,  125.000, 3000,  40.815,  58.494,  16.248,  21.980,  34.426,   9.563, 90,  0,   3.702,   4.172,   1.159,   7.803,   8.349,   2.319,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.277594
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 58.494019
Cumulative Processor Energy_0 (mWh) = 16.248338
Average Processor Power_0 (Watt) = 45.784519

Cumulative IA Energy_0 (Joules) = 34.426025
Cumulative IA Energy_0 (mWh) = 9.562785
Average IA Power_0 (Watt) = 26.945986

Cumulative DRAM Energy_0 (Joules) = 4.171753
Cumulative DRAM Energy_0 (mWh) = 1.158820
Average DRAM Power_0 (Watt) = 3.265320

Cumulative GT Energy_0 (Joules) = 8.348938
Cumulative GT Energy_0 (mWh) = 2.319149
Average GT Power_0 (Watt) = 6.534892
