System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:41:477, 160630213972719,    0.107,   34.000, 3000,  36.127,   3.868,   1.075,  18.298,   1.959,   0.544, 86,  0,   2.589,   0.277,   0.077,   5.910,   0.633,   0.176,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:41:583, 160630448306968,    0.213,   26.000, 3300,  35.603,   7.647,   2.124,  18.149,   3.885,   1.079, 85,  0,   2.224,   0.513,   0.143,   5.547,   1.221,   0.339,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:41:691, 160630686612389,    0.321,   18.000, 3500,  36.198,  11.554,   3.209,  18.931,   5.928,   1.647, 90,  0,   1.984,   0.727,   0.202,   5.420,   1.807,   0.502,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:41:798, 160630924158346,    0.429,   20.000, 3700,  40.739,  15.936,   4.427,  23.403,   8.446,   2.346, 92,  0,   1.970,   0.939,   0.261,   5.429,   2.391,   0.664,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:41:937, 160631229339268,    0.567,   24.000, 3100,  41.933,  21.732,   6.037,  24.782,  11.872,   3.298, 96,  0,   1.955,   1.210,   0.336,   5.443,   3.143,   0.873,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:42:043, 160631464748367,    0.674,   23.000, 3800,  45.404,  26.573,   7.381,  28.384,  14.898,   4.138, 94,  0,   2.209,   1.445,   0.401,   5.377,   3.716,   1.032,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:42:166, 160631735774475,    0.796,   26.000, 3700,  45.803,  32.195,   8.943,  28.388,  18.382,   5.106, 86,  0,   2.336,   1.732,   0.481,   5.474,   4.388,   1.219,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:42:287, 160632002760237,    0.917,   27.000, 3600,  49.026,  38.123,  10.590,  31.176,  22.152,   6.153, 95,  0,   2.599,   2.046,   0.568,   5.692,   5.076,   1.410,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:42:302, 160632037196035,    0.933,   57.000, 3700,  36.032,  38.685,  10.746,  18.049,  22.434,   6.232, 95,  0,   2.610,   2.087,   0.580,   5.342,   5.160,   1.433,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.932805
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 38.685181
Cumulative Processor Energy_0 (mWh) = 10.745884
Average Processor Power_0 (Watt) = 41.471903

Cumulative IA Energy_0 (Joules) = 22.433533
Cumulative IA Energy_0 (mWh) = 6.231537
Average IA Power_0 (Watt) = 24.049553

Cumulative DRAM Energy_0 (Joules) = 2.086792
Cumulative DRAM Energy_0 (mWh) = 0.579664
Average DRAM Power_0 (Watt) = 2.237116

Cumulative GT Energy_0 (Joules) = 5.159607
Cumulative GT Energy_0 (mWh) = 1.433224
Average GT Power_0 (Watt) = 5.531284
