System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:42:609, 160632714514372,    0.116,   38.000, 3300,  46.113,   5.349,   1.486,  27.541,   3.195,   0.887, 89,  0,   3.041,   0.353,   0.098,   6.294,   0.730,   0.203,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:42:718, 160632954379351,    0.225,   26.000, 3400,  39.959,   9.690,   2.692,  22.176,   5.604,   1.557, 91,  0,   2.334,   0.606,   0.168,   5.692,   1.348,   0.375,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:42:825, 160633190976864,    0.332,   23.000, 3100,  39.651,  13.938,   3.872,  22.396,   8.003,   2.223, 95,  0,   2.040,   0.825,   0.229,   5.530,   1.941,   0.539,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:42:963, 160633494816757,    0.469,   34.000, 3100,  43.513,  19.926,   5.535,  26.125,  11.598,   3.222, 96,  0,   2.155,   1.122,   0.312,   5.477,   2.695,   0.749,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:43:101, 160633801458747,    0.608,   40.000, 3000,  46.342,  26.362,   7.323,  28.313,  15.530,   4.314, 97,  0,   2.832,   1.515,   0.421,   5.844,   3.506,   0.974,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:43:225, 160634074222686,    0.732,   24.000, 3700,  42.686,  31.635,   8.788,  25.656,  18.700,   5.194, 94,  0,   1.998,   1.762,   0.489,   5.506,   4.186,   1.163,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:43:394, 160634446105280,    0.900,   17.000, 3900,  39.711,  38.324,  10.645,  22.191,  22.437,   6.233, 85,  0,   1.886,   2.079,   0.578,   5.499,   5.113,   1.420,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:43:550, 160634791467483,    1.057,   12.000, 2200,  33.455,  43.556,  12.099,  16.329,  24.991,   6.942, 84,  0,   1.689,   2.344,   0.651,   5.476,   5.969,   1.658,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:43:551, 160634793514297,    1.058,   18.000, 2200,  25.612,  43.580,  12.106,  11.786,  25.002,   6.945, 83,  0,   1.778,   2.345,   0.651,   5.333,   5.974,   1.659,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.057565
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.580139
Cumulative Processor Energy_0 (mWh) = 12.105594
Average Processor Power_0 (Watt) = 41.208006

Cumulative IA Energy_0 (Joules) = 25.002380
Cumulative IA Energy_0 (mWh) = 6.945106
Average IA Power_0 (Watt) = 23.641463

Cumulative DRAM Energy_0 (Joules) = 2.345154
Cumulative DRAM Energy_0 (mWh) = 0.651432
Average DRAM Power_0 (Watt) = 2.217504

Cumulative GT Energy_0 (Joules) = 5.973999
Cumulative GT Energy_0 (mWh) = 1.659444
Average GT Power_0 (Watt) = 5.648825
