System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:43:817, 160635381589989,    0.112,   27.000, 3900,  52.095,   5.827,   1.619,  33.796,   3.780,   1.050, 91,  0,   2.723,   0.305,   0.085,   5.933,   0.664,   0.184,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:43:957, 160635689771113,    0.251,   21.000, 3900,  44.141,  11.988,   3.330,  26.611,   7.494,   2.082, 88,  0,   2.051,   0.591,   0.164,   5.558,   1.439,   0.400,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:44:081, 160635964745209,    0.376,   55.000, 3900,  52.631,  18.542,   5.151,  35.159,  11.873,   3.298, 89,  0,   3.046,   0.970,   0.270,   5.454,   2.119,   0.588,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:44:191, 160636206730032,    0.486,   28.000, 3900,  48.456,  23.853,   6.626,  30.966,  15.267,   4.241, 88,  0,   2.220,   1.214,   0.337,   5.438,   2.715,   0.754,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:44:298, 160636443709437,    0.593,   30.000, 3600,  44.734,  28.654,   7.959,  27.948,  18.266,   5.074, 93,  0,   2.174,   1.447,   0.402,   5.097,   3.262,   0.906,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:44:406, 160636681807956,    0.701,   27.000, 3900,  47.078,  33.731,   9.370,  30.294,  21.533,   5.981, 93,  0,   2.154,   1.679,   0.466,   4.839,   3.783,   1.051,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:44:513, 160636918922284,    0.808,   24.000, 3900,  47.361,  38.817,  10.782,  30.662,  24.826,   6.896, 91,  0,   2.008,   1.895,   0.526,   4.686,   4.287,   1.191,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:44:622, 160637157944672,    0.916,   18.000, 3900,  40.951,  43.250,  12.014,  24.456,  27.473,   7.631, 85,  0,   2.006,   2.112,   0.587,   4.710,   4.796,   1.332,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:44:629, 160637174645267,    0.924,  161.000, 3900,  43.027,  43.575,  12.104,  30.398,  27.703,   7.695, 84,  0,   2.106,   2.128,   0.591,   4.422,   4.830,   1.342,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.923923
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 43.575256
Cumulative Processor Energy_0 (mWh) = 12.104238
Average Processor Power_0 (Watt) = 47.163300

Cumulative IA Energy_0 (Joules) = 27.703125
Cumulative IA Energy_0 (mWh) = 7.695313
Average IA Power_0 (Watt) = 29.984236

Cumulative DRAM Energy_0 (Joules) = 2.127869
Cumulative DRAM Energy_0 (mWh) = 0.591075
Average DRAM Power_0 (Watt) = 2.303080

Cumulative GT Energy_0 (Joules) = 4.829895
Cumulative GT Energy_0 (mWh) = 1.341638
Average GT Power_0 (Watt) = 5.227595
