System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:44:902, 160637776440222,    0.108,   29.000, 3500,  43.463,   4.682,   1.301,  26.927,   2.901,   0.806, 98,  0,   2.715,   0.293,   0.081,   4.403,   0.474,   0.132,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:45:043, 160638087447845,    0.249,   30.000, 3800,  46.666,  11.256,   3.127,  30.603,   7.211,   2.003, 96,  0,   2.291,   0.615,   0.171,   4.085,   1.050,   0.292,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:45:167, 160638361549970,    0.373,   65.000, 3000,  49.431,  17.392,   4.831,  32.878,  11.293,   3.137, 96,  0,   3.402,   1.037,   0.288,   4.214,   1.573,   0.437,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:45:277, 160638605107325,    0.483,   43.000, 2900,  39.347,  21.732,   6.037,  22.220,  13.744,   3.818, 88,  0,   2.523,   1.316,   0.365,   5.243,   2.151,   0.598,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:45:432, 160638946263605,    0.638,   38.000, 3100,  39.209,  27.790,   7.720,  21.554,  17.074,   4.743, 87,  0,   2.626,   1.721,   0.478,   5.526,   3.005,   0.835,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:45:555, 160639218790076,    0.761,   44.000, 3100,  44.481,  33.280,   9.245,  26.980,  20.404,   5.668, 91,  0,   2.680,   2.052,   0.570,   5.588,   3.695,   1.026,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:45:679, 160639493253957,    0.885,   48.000, 3200,  45.479,  38.934,  10.815,  27.751,  23.854,   6.626, 92,  0,   2.686,   2.386,   0.663,   5.503,   4.379,   1.216,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:45:803, 160639766921867,    1.009,   27.000, 3300,  38.377,  43.690,  12.136,  21.082,  26.467,   7.352, 86,  0,   2.272,   2.668,   0.741,   5.682,   5.083,   1.412,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:45:928, 160640042088650,    1.134,   13.000, 2200,  27.238,  47.085,  13.079,   9.967,  27.709,   7.697, 83,  0,   1.698,   2.879,   0.800,   5.356,   5.750,   1.597,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:45:929, 160640044277467,    1.135,   12.000, 2200,  21.550,  47.106,  13.085,   7.265,  27.716,   7.699, 83,  0,   1.355,   2.881,   0.800,   5.172,   5.756,   1.599,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.134829
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 47.106018
Cumulative Processor Energy_0 (mWh) = 13.085005
Average Processor Power_0 (Watt) = 41.509343

Cumulative IA Energy_0 (Joules) = 27.716248
Cumulative IA Energy_0 (mWh) = 7.698958
Average IA Power_0 (Watt) = 24.423275

Cumulative DRAM Energy_0 (Joules) = 2.880676
Cumulative DRAM Energy_0 (mWh) = 0.800188
Average DRAM Power_0 (Watt) = 2.538423

Cumulative GT Energy_0 (Joules) = 5.755615
Cumulative GT Energy_0 (mWh) = 1.598782
Average GT Power_0 (Watt) = 5.071789
