System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:48:47:540, 160643601451978,    0.216,   90.000, 2900,  48.870,  10.579,   2.939,  29.565,   6.400,   1.778, 96,  0,   3.959,   0.857,   0.238,   6.782,   1.468,   0.408,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:47:676, 160643902054587,    0.353,   87.000, 3000,  49.485,  17.316,   4.810,  29.573,  10.426,   2.896, 95,  0,   4.070,   1.411,   0.392,   7.263,   2.457,   0.682,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:47:799, 160644176841183,    0.477,   69.000, 2600,  48.803,  23.390,   6.497,  29.292,  14.072,   3.909, 96,  0,   3.865,   1.892,   0.526,   6.722,   3.294,   0.915,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:47:941, 160644487877760,    0.618,   56.000, 3200,  50.228,  30.465,   8.463,  30.136,  18.317,   5.088, 96,  0,   3.838,   2.433,   0.676,   7.368,   4.331,   1.203,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:48:112, 160644865154365,    0.789,   54.000, 2900,  48.388,  38.733,  10.759,  29.399,  23.340,   6.483, 95,  0,   4.173,   3.146,   0.874,   6.458,   5.435,   1.510,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:48:385, 160645468919796,    1.062,  157.000, 2800,  45.720,  51.235,  14.232,  27.687,  30.911,   8.586, 92,  0,   3.972,   4.232,   1.176,   5.296,   6.883,   1.912,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:48:523, 160645773253083,    1.200,   69.000, 2200,  41.242,  56.919,  15.811,  22.689,  34.038,   9.455, 88,  0,   3.889,   4.768,   1.324,   5.896,   7.696,   2.138,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:48:679, 160646116027295,    1.355,   89.000, 2500,  37.583,  62.754,  17.432,  18.205,  36.864,  10.240, 87,  0,   3.786,   5.356,   1.488,   6.887,   8.765,   2.435,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:48:802, 160646388483062,    1.479,   60.000, 2700,  38.884,  67.552,  18.764,  20.057,  39.339,  10.928, 88,  0,   3.574,   5.797,   1.610,   6.559,   9.574,   2.660,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:48:942, 160646697106053,    1.618,   52.000, 2900,  39.533,  73.078,  20.299,  22.109,  42.430,  11.786, 85,  0,   2.405,   6.133,   1.704,   5.410,  10.331,   2.870,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:49:081, 160647003247402,    1.757,   39.000, 3000,  40.645,  78.713,  21.865,  23.254,  45.654,  12.682, 85,  0,   2.298,   6.452,   1.792,   5.422,  11.082,   3.078,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:49:218, 160647306706664,    1.895,   38.000, 3200,  39.530,  84.146,  23.374,  21.261,  48.576,  13.493, 86,  0,   2.929,   6.854,   1.904,   6.163,  11.929,   3.314,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:48:49:234, 160647342169171,    1.911,   44.000, 3300,  40.868,  84.802,  23.556,  22.855,  48.943,  13.595, 86,  0,   3.413,   6.909,   1.919,   6.464,  12.033,   3.343,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 1.910634
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 84.802246
Cumulative Processor Energy_0 (mWh) = 23.556179
Average Processor Power_0 (Watt) = 44.384355

Cumulative IA Energy_0 (Joules) = 48.942810
Cumulative IA Energy_0 (mWh) = 13.595225
Average IA Power_0 (Watt) = 25.616008

Cumulative DRAM Energy_0 (Joules) = 6.908936
Cumulative DRAM Energy_0 (mWh) = 1.919149
Average DRAM Power_0 (Watt) = 3.616044

Cumulative GT Energy_0 (Joules) = 12.033203
Cumulative GT Energy_0 (mWh) = 3.342556
Average GT Power_0 (Watt) = 6.298017
