System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
04:47:15:490, 160440354867614,    0.119,   54.000, 3000,  42.777,   5.100,   1.417,  23.720,   2.828,   0.786, 90,  0,   3.677,   0.438,   0.122,   6.680,   0.796,   0.221,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:15:613, 160440626527218,    0.242,   49.000, 3100,  42.933,  10.382,   2.884,  23.603,   5.732,   1.592, 90,  0,   3.806,   0.907,   0.252,   6.803,   1.633,   0.454,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:15:737, 160440900715435,    0.366,   45.000, 3100,  43.797,  15.821,   4.395,  24.283,   8.747,   2.430, 89,  0,   3.835,   1.383,   0.384,   6.997,   2.502,   0.695,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:15:847, 160441143744694,    0.477,   48.000, 3100,  44.869,  20.759,   5.766,  25.437,  11.547,   3.208, 90,  0,   3.871,   1.809,   0.503,   6.854,   3.257,   0.905,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:15:957, 160441384619926,    0.586,   44.000, 3100,  43.572,  25.513,   7.087,  24.233,  14.191,   3.942, 90,  0,   3.773,   2.221,   0.617,   6.814,   4.000,   1.111,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:16:063, 160441620584293,    0.692,   47.000, 3100,  44.650,  30.284,   8.412,  24.957,  16.858,   4.683, 89,  0,   3.925,   2.640,   0.733,   7.071,   4.756,   1.321,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:16:187, 160441894127445,    0.816,   52.000, 3100,  45.729,  35.950,   9.986,  26.284,  20.114,   5.587, 89,  0,   3.834,   3.115,   0.865,   6.854,   5.605,   1.557,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:16:309, 160442163719592,    0.938,   49.000, 3100,  45.278,  41.478,  11.522,  25.814,  23.266,   6.463, 90,  0,   3.932,   3.595,   0.999,   6.887,   6.446,   1.790,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:16:433, 160442436051761,    1.062,   48.000, 3100,  44.268,  46.938,  13.038,  24.614,  26.302,   7.306, 90,  0,   3.839,   4.069,   1.130,   6.845,   7.290,   2.025,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:16:556, 160442709122916,    1.185,   54.000, 3100,  46.499,  52.688,  14.636,  27.038,  29.646,   8.235, 90,  0,   4.058,   4.570,   1.270,   7.041,   8.161,   2.267,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:16:681, 160442984557741,    1.310,   56.000, 3000,  46.161,  58.447,  16.235,  26.517,  32.953,   9.154, 92,  0,   3.984,   5.067,   1.408,   6.921,   9.024,   2.507,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:16:804, 160443256851884,    1.434,   55.000, 3000,  44.063,  63.881,  17.745,  24.771,  36.008,  10.002, 90,  0,   3.932,   5.552,   1.542,   6.801,   9.863,   2.740,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:16:915, 160443500060613,    1.544,   51.000, 3100,  44.634,  68.797,  19.110,  25.365,  38.802,  10.778, 89,  0,   3.807,   5.972,   1.659,   6.810,  10.613,   2.948,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:17:023, 160443739261493,    1.652,   45.000, 3100,  44.611,  73.630,  20.453,  24.868,  41.496,  11.527, 89,  0,   3.841,   6.388,   1.774,   6.874,  11.358,   3.155,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:17:146, 160444011350786,    1.775,   55.000, 3000,  46.999,  79.422,  22.062,  27.633,  44.901,  12.473, 95,  0,   3.893,   6.868,   1.908,   6.827,  12.199,   3.389,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:17:271, 160444286952079,    1.900,   51.000, 3000,  44.858,  85.021,  23.617,  25.110,  48.036,  13.343, 90,  0,   4.073,   7.376,   2.049,   7.041,  13.078,   3.633,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:17:424, 160444625904448,    2.054,   92.000, 2900,  47.308,  92.283,  25.634,  28.291,  52.379,  14.550, 95,  0,   4.013,   7.992,   2.220,   6.539,  14.081,   3.912,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:17:533, 160444864916413,    2.162,   51.000, 3000,  42.423,  96.875,  26.910,  23.128,  54.882,  15.245, 89,  0,   3.877,   8.412,   2.337,   6.428,  14.777,   4.105,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:17:655, 160445135000564,    2.284,   50.000, 3000,  43.946, 102.251,  28.403,  24.754,  57.910,  16.086, 92,  0,   3.813,   8.878,   2.466,   6.747,  15.603,   4.334,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:17:793, 160445439925147,    2.422,   49.000, 3000,  43.853, 108.307,  30.085,  24.688,  61.319,  17.033, 88,  0,   3.782,   9.400,   2.611,   6.645,  16.520,   4.589,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:17:931, 160445744576016,    2.560,   56.000, 3100,  44.158, 114.399,  31.778,  24.906,  64.756,  17.988, 90,  0,   3.850,   9.932,   2.759,   6.696,  17.444,   4.846,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:18:054, 160446016967310,    2.684,   54.000, 3000,  45.992, 120.073,  33.354,  26.953,  68.081,  18.911, 94,  0,   3.837,  10.405,   2.890,   6.649,  18.264,   5.073,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:18:164, 160446258258295,    2.793,   45.000, 3100,  43.527, 124.830,  34.675,  23.839,  70.686,  19.635, 90,  0,   3.793,  10.819,   3.005,   6.835,  19.011,   5.281,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:18:288, 160446531980939,    2.917,   62.000, 3000,  46.772, 130.628,  36.286,  27.484,  74.093,  20.581, 92,  0,   4.021,  11.318,   3.144,   6.648,  19.835,   5.510,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:18:412, 160446805704830,    3.041,   71.000, 2900,  47.257, 136.486,  37.913,  27.850,  77.546,  21.540, 92,  0,   4.078,  11.823,   3.284,   6.721,  20.669,   5.741,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:18:535, 160447077575735,    3.164,   62.000, 2900,  45.147, 142.045,  39.457,  26.018,  80.749,  22.430, 89,  0,   4.034,  12.320,   3.422,   6.518,  21.471,   5.964,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:18:688, 160447416276956,    3.317,   79.000, 2900,  44.613, 148.889,  41.358,  25.302,  84.630,  23.508, 90,  0,   3.891,  12.917,   3.588,   6.819,  22.517,   6.255,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:18:797, 160447656870602,    3.426,   47.000, 3000,  42.347, 153.503,  42.640,  22.855,  87.121,  24.200, 89,  0,   3.854,  13.337,   3.705,   6.931,  23.272,   6.465,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:18:920, 160447928979534,    3.550,   52.000, 3000,  43.787, 158.899,  44.139,  24.651,  90.159,  25.044, 91,  0,   3.894,  13.817,   3.838,   6.642,  24.091,   6.692,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:19:043, 160448199581243,    3.672,   57.000, 3000,  44.627, 164.369,  45.658,  25.083,  93.233,  25.898, 89,  0,   3.965,  14.303,   3.973,   6.754,  24.919,   6.922,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:19:148, 160448433171679,    3.778,   78.000, 3000,  48.562, 169.506,  47.085,  29.324,  96.335,  26.760, 95,  0,   4.056,  14.732,   4.092,   6.527,  25.609,   7.114,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:19:272, 160448705202221,    3.901,   54.000, 3000,  43.536, 174.870,  48.575,  24.330,  99.333,  27.592, 88,  0,   3.876,  15.209,   4.225,   6.659,  26.430,   7.342,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:19:380, 160448944045289,    4.009,   46.000, 3000,  42.600, 179.478,  49.855,  23.307, 101.854,  28.293, 88,  0,   3.822,  15.623,   4.340,   6.780,  27.163,   7.545,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:19:504, 160449217694361,    4.133,   52.000, 3100,  45.195, 185.079,  51.411,  25.810, 105.052,  29.181, 90,  0,   3.917,  16.108,   4.474,   6.842,  28.011,   7.781,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:19:627, 160449489428305,    4.256,   47.000, 3100,  45.129, 190.633,  52.954,  25.866, 108.236,  30.065, 89,  0,   3.757,  16.571,   4.603,   6.717,  28.838,   8.010,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:19:750, 160449760653404,    4.379,   49.000, 3100,  44.402, 196.087,  54.469,  24.855, 111.289,  30.914, 90,  0,   3.851,  17.044,   4.734,   6.910,  29.686,   8.246,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:19:873, 160450031804214,    4.502,   43.000, 3100,  43.990, 201.489,  55.969,  24.494, 114.297,  31.749, 88,  0,   3.817,  17.512,   4.865,   6.896,  30.533,   8.481,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:19:996, 160450304801786,    4.626,   46.000, 3100,  43.756, 206.899,  57.472,  24.824, 117.366,  32.602, 89,  0,   3.741,  17.975,   4.993,   6.676,  31.359,   8.711,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:20:120, 160450577377958,    4.749,   46.000, 3100,  44.239, 212.361,  58.989,  24.959, 120.447,  33.458, 88,  0,   3.677,  18.429,   5.119,   6.510,  32.162,   8.934,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
04:47:20:133, 160450608089813,    4.763,   54.000, 3100,  43.139, 212.961,  59.156,  24.266, 120.785,  33.551, 90,  0,   3.462,  18.477,   5.132,   6.600,  32.254,   8.960,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 4.762875
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 212.960693
Cumulative Processor Energy_0 (mWh) = 59.155748
Average Processor Power_0 (Watt) = 44.712639

Cumulative IA Energy_0 (Joules) = 120.784729
Cumulative IA Energy_0 (mWh) = 33.551314
Average IA Power_0 (Watt) = 25.359628

Cumulative DRAM Energy_0 (Joules) = 18.476990
Cumulative DRAM Energy_0 (mWh) = 5.132497
Average DRAM Power_0 (Watt) = 3.879378

Cumulative GT Energy_0 (Joules) = 32.254211
Cumulative GT Energy_0 (mWh) = 8.959503
Average GT Power_0 (Watt) = 6.772005
