System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:24:44:384, 181303582751631,    0.121,   26.000, 3500,  36.576,   4.418,   1.227,  30.245,   3.654,   1.015, 97,  0,   1.938,   0.234,   0.065,   4.784,   0.578,   0.161,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:44:510, 181303860037267,    0.246,   11.000, 3700,  21.710,   7.145,   1.985,  15.852,   5.644,   1.568, 94,  0,   1.279,   0.395,   0.110,   4.697,   1.168,   0.324,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:44:620, 181304102891235,    0.356,   18.000, 3900,  30.839,  10.537,   2.927,  24.528,   8.342,   2.317, 81,  0,   1.689,   0.581,   0.161,   4.733,   1.688,   0.469,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:44:730, 181304346674136,    0.467,   10.000, 3900,  22.664,  13.039,   3.622,  16.694,  10.185,   2.829, 81,  0,   1.287,   0.723,   0.201,   4.597,   2.196,   0.610,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:44:840, 181304589203601,    0.577,   15.000, 3900,  26.161,  15.913,   4.420,  20.241,  12.409,   3.447, 88,  0,   1.393,   0.876,   0.243,   4.597,   2.701,   0.750,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:44:973, 181304883371890,    0.710,   18.000, 3900,  31.424,  20.099,   5.583,  25.592,  15.818,   4.394, 96,  0,   1.344,   1.055,   0.293,   4.598,   3.313,   0.920,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:45:082, 181305124271962,    0.819,   29.000, 3900,  41.369,  24.613,   6.837,  35.303,  19.670,   5.464, 96,  0,   2.229,   1.298,   0.360,   4.558,   3.811,   1.059,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:45:200, 181305384911352,    0.937,   22.000, 3900,  34.777,  28.718,   7.977,  29.070,  23.101,   6.417, 85,  0,   2.020,   1.536,   0.427,   4.224,   4.309,   1.197,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:45:200, 181305395497743,    0.942,   45.000, 3900,  33.531,  28.879,   8.022,  26.313,  23.227,   6.452, 83,  0,   2.546,   1.548,   0.430,   4.226,   4.330,   1.203,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.941784
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 28.878601
Cumulative Processor Energy_0 (mWh) = 8.021834
Average Processor Power_0 (Watt) = 30.663705

Cumulative IA Energy_0 (Joules) = 23.227356
Cumulative IA Energy_0 (mWh) = 6.452043
Average IA Power_0 (Watt) = 24.663133

Cumulative DRAM Energy_0 (Joules) = 1.548401
Cumulative DRAM Energy_0 (mWh) = 0.430111
Average DRAM Power_0 (Watt) = 1.644114

Cumulative GT Energy_0 (Joules) = 4.329590
Cumulative GT Energy_0 (mWh) = 1.202664
Average GT Power_0 (Watt) = 4.597219
