System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:24:45:404, 181305835147983,    0.112,   20.000, 3900,  32.643,   3.653,   1.015,  27.138,   3.037,   0.844, 95,  0,   1.803,   0.202,   0.056,   4.041,   0.452,   0.126,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:45:536, 181306126541736,    0.244,   16.000, 3500,  26.057,   7.092,   1.970,  20.820,   5.784,   1.607, 95,  0,   1.509,   0.401,   0.111,   3.908,   0.968,   0.269,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:45:655, 181306388986678,    0.363,   17.000, 3900,  27.949,  10.414,   2.893,  23.164,   8.538,   2.372, 95,  0,   1.544,   0.584,   0.162,   3.455,   1.378,   0.383,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:45:765, 181306631279965,    0.472,   10.000, 3900,  21.363,  12.758,   3.544,  16.715,  10.372,   2.881, 76,  0,   1.211,   0.717,   0.199,   3.523,   1.765,   0.490,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:45:875, 181306873842815,    0.582,   15.000, 3900,  27.302,  15.757,   4.377,  22.432,  12.836,   3.566, 89,  0,   1.448,   0.876,   0.243,   3.520,   2.152,   0.598,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:45:999, 181307148595887,    0.707,   10.000, 3900,  19.520,  18.186,   5.052,  14.451,  14.634,   4.065, 75,  0,   1.297,   1.038,   0.288,   3.516,   2.589,   0.719,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:46:143, 181307467135782,    0.851,   23.000, 3900,  34.069,  23.101,   6.417,  28.400,  18.732,   5.203, 94,  0,   1.937,   1.317,   0.366,   4.266,   3.205,   0.890,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:46:257, 181307718686253,    0.965,   14.000, 3900,  28.351,  26.331,   7.314,  22.093,  21.249,   5.902, 79,  0,   1.705,   1.511,   0.420,   4.843,   3.757,   1.043,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:46:258, 181307719913899,    0.966,    8.000, 3900,   0.000,  26.331,   7.314,  25.139,  21.263,   5.906, 79,  0,   0.000,   1.511,   0.420,   4.940,   3.759,   1.044,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.965506
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 26.331238
Cumulative Processor Energy_0 (mWh) = 7.314233
Average Processor Power_0 (Watt) = 27.271963

Cumulative IA Energy_0 (Joules) = 21.262512
Cumulative IA Energy_0 (mWh) = 5.906253
Average IA Power_0 (Watt) = 22.022150

Cumulative DRAM Energy_0 (Joules) = 1.511292
Cumulative DRAM Energy_0 (mWh) = 0.419803
Average DRAM Power_0 (Watt) = 1.565285

Cumulative GT Energy_0 (Joules) = 3.759277
Cumulative GT Energy_0 (mWh) = 1.044244
Average GT Power_0 (Watt) = 3.893584
