System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:24:49:640, 181315187215720,    0.114,   22.000, 3900,  34.539,   3.953,   1.098,  29.530,   3.379,   0.939, 95,  0,   2.117,   0.242,   0.067,   3.508,   0.401,   0.112,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:49:767, 181315467724618,    0.241,   15.000, 3900,  27.555,   7.453,   2.070,  22.691,   6.262,   1.739, 86,  0,   1.604,   0.446,   0.124,   3.490,   0.845,   0.235,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:49:892, 181315744570311,    0.367,   15.000, 3900,  25.106,  10.601,   2.945,  20.336,   8.812,   2.448, 83,  0,   1.541,   0.639,   0.178,   3.317,   1.261,   0.350,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:50:005, 181315994698627,    0.480,   12.000, 3900,  22.833,  13.188,   3.663,  18.498,  10.907,   3.030, 90,  0,   1.366,   0.794,   0.221,   3.144,   1.617,   0.449,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:50:115, 181316235710959,    0.589,   40.000, 3700,  51.092,  18.765,   5.212,  44.769,  15.794,   4.387, 96,  0,   2.675,   1.086,   0.302,   4.408,   2.098,   0.583,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:50:265, 181316568299135,    0.740,   20.000, 3600,  32.285,  23.628,   6.563,  25.955,  19.704,   5.473, 96,  0,   1.883,   1.370,   0.380,   4.755,   2.814,   0.782,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:50:380, 181316822904454,    0.855,   14.000, 3900,  27.596,  26.810,   7.447,  21.283,  22.158,   6.155, 95,  0,   1.714,   1.567,   0.435,   4.908,   3.380,   0.939,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:50:490, 181317065233841,    0.965,    4.000, 2200,  10.724,  27.987,   7.774,   4.521,  22.654,   6.293, 78,  0,   1.284,   1.708,   0.475,   4.896,   3.918,   1.088,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:50:491, 181317073290877,    0.969,   26.000, 2200,  22.765,  28.070,   7.797,  14.234,  22.706,   6.307, 77,  0,   2.542,   1.718,   0.477,   5.018,   3.936,   1.093,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.968638
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 28.069824
Cumulative Processor Energy_0 (mWh) = 7.797173
Average Processor Power_0 (Watt) = 28.978667

Cumulative IA Energy_0 (Joules) = 22.705811
Cumulative IA Energy_0 (mWh) = 6.307170
Average IA Power_0 (Watt) = 23.440978

Cumulative DRAM Energy_0 (Joules) = 1.717529
Cumulative DRAM Energy_0 (mWh) = 0.477091
Average DRAM Power_0 (Watt) = 1.773139

Cumulative GT Energy_0 (Joules) = 3.935974
Cumulative GT Energy_0 (mWh) = 1.093326
Average GT Power_0 (Watt) = 4.063413
