System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:24:50:738, 181317612144429,    0.122,   35.000, 3900,  39.052,   4.748,   1.319,  32.401,   3.940,   1.094, 81,  0,   2.254,   0.274,   0.076,   4.854,   0.590,   0.164,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:50:864, 181317889781369,    0.247,   16.000, 3900,  27.370,   8.190,   2.275,  21.695,   6.668,   1.852, 96,  0,   1.435,   0.454,   0.126,   4.698,   1.181,   0.328,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:50:989, 181318166962155,    0.373,   10.000, 3900,  23.224,  11.105,   3.085,  17.014,   8.804,   2.445, 78,  0,   1.317,   0.620,   0.172,   4.678,   1.768,   0.491,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:51:114, 181318442031970,    0.497,   18.000, 3900,  31.969,  15.088,   4.191,  25.911,  12.031,   3.342, 90,  0,   1.873,   0.853,   0.237,   4.790,   2.365,   0.657,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:51:224, 181318684510238,    0.607,   11.000, 3900,  24.275,  17.754,   4.932,  17.992,  14.007,   3.891, 79,  0,   1.284,   0.994,   0.276,   4.896,   2.903,   0.806,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:51:331, 181318922577430,    0.715,   10.000, 4000,  22.677,  20.199,   5.611,  16.585,  15.796,   4.388, 78,  0,   1.295,   1.134,   0.315,   4.855,   3.426,   0.952,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:51:450, 181319183750774,    0.833,   10.000, 3900,  24.561,  23.104,   6.418,  18.118,  17.939,   4.983, 78,  0,   1.416,   1.301,   0.361,   4.835,   3.998,   1.111,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:51:554, 181319414967759,    0.938,    5.000, 2200,  14.775,  24.651,   6.848,   8.558,  18.835,   5.232, 76,  0,   1.212,   1.428,   0.397,   4.858,   4.507,   1.252,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:24:51:554, 181319416937047,    0.939,   11.000, 2200,  11.976,  24.662,   6.851,   7.186,  18.841,   5.234, 76,  0,   1.437,   1.429,   0.397,   4.790,   4.511,   1.253,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.938979
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 24.661987
Cumulative Processor Energy_0 (mWh) = 6.850552
Average Processor Power_0 (Watt) = 26.264674

Cumulative IA Energy_0 (Joules) = 18.841248
Cumulative IA Energy_0 (mWh) = 5.233680
Average IA Power_0 (Watt) = 20.065667

Cumulative DRAM Energy_0 (Joules) = 1.429321
Cumulative DRAM Energy_0 (mWh) = 0.397034
Average DRAM Power_0 (Watt) = 1.522207

Cumulative GT Energy_0 (Joules) = 4.510925
Cumulative GT Energy_0 (mWh) = 1.253035
Average GT Power_0 (Watt) = 4.804073
