System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:23:17:960, 181112756698635,    0.139,   21.000, 3900,  31.203,   4.352,   1.209,  24.664,   3.440,   0.956, 79,  0,   1.823,   0.254,   0.071,   4.761,   0.664,   0.184,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:18:069, 181112999027415,    0.249,   11.000, 3900,  22.217,   6.790,   1.886,  16.318,   5.231,   1.453, 93,  0,   1.272,   0.394,   0.109,   4.603,   1.169,   0.325,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:18:201, 181113290225958,    0.381,   12.000, 3900,  27.156,  10.371,   2.881,  21.157,   8.021,   2.228, 78,  0,   1.536,   0.596,   0.166,   4.813,   1.804,   0.501,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:18:374, 181113670895206,    0.554,   10.000, 3900,  21.508,  14.080,   3.911,  15.358,  10.669,   2.964, 85,  0,   1.220,   0.807,   0.224,   4.849,   2.640,   0.733,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:18:489, 181113925777166,    0.669,   12.000, 3900,  25.688,  17.045,   4.735,  19.733,  12.947,   3.596, 91,  0,   1.328,   0.960,   0.267,   4.843,   3.199,   0.889,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:18:610, 181114193338507,    0.790,   22.000, 3900,  34.974,  21.283,   5.912,  28.366,  16.384,   4.551, 93,  0,   2.145,   1.220,   0.339,   4.861,   3.788,   1.052,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:18:746, 181114492824693,    0.926,   26.000, 3900,  35.813,  26.141,   7.261,  29.194,  20.344,   5.651, 83,  0,   2.043,   1.497,   0.416,   4.970,   4.462,   1.240,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:18:746, 181114494732711,    0.927,   14.000, 3900,  38.212,  26.174,   7.270,  31.290,  20.371,   5.659, 83,  0,   3.037,   1.500,   0.417,   5.439,   4.467,   1.241,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.926617
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 26.173645
Cumulative Processor Energy_0 (mWh) = 7.270457
Average Processor Power_0 (Watt) = 28.246467

Cumulative IA Energy_0 (Joules) = 20.370667
Cumulative IA Energy_0 (mWh) = 5.658518
Average IA Power_0 (Watt) = 21.983922

Cumulative DRAM Energy_0 (Joules) = 1.499634
Cumulative DRAM Energy_0 (mWh) = 0.416565
Average DRAM Power_0 (Watt) = 1.618397

Cumulative GT Energy_0 (Joules) = 4.466919
Cumulative GT Energy_0 (mWh) = 1.240811
Average GT Power_0 (Watt) = 4.820677
