System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:23:10:886, 181097137776713,    0.129,   25.000, 3900,  36.178,   4.661,   1.295,  29.873,   3.849,   1.069, 90,  0,   1.798,   0.232,   0.064,   4.787,   0.617,   0.171,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:10:994, 181097377278871,    0.237,   14.000, 3900,  27.221,   7.614,   2.115,  21.329,   6.163,   1.712, 82,  0,   1.437,   0.387,   0.108,   4.718,   1.128,   0.313,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:11:104, 181097620021522,    0.347,   14.000, 3900,  28.116,  10.705,   2.974,  21.968,   8.578,   2.383, 80,  0,   1.536,   0.556,   0.155,   4.756,   1.651,   0.459,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:11:214, 181097862796891,    0.457,    9.000, 3900,  20.785,  12.991,   3.608,  14.938,  10.220,   2.839, 77,  0,   1.195,   0.688,   0.191,   4.574,   2.154,   0.598,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:11:333, 181098125777315,    0.576,   10.000, 3900,  23.170,  15.750,   4.375,  16.973,  12.242,   3.400, 87,  0,   1.293,   0.842,   0.234,   4.806,   2.727,   0.757,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:11:459, 181098403294078,    0.702,   10.000, 3900,  21.882,  18.500,   5.139,  15.951,  14.247,   3.957, 79,  0,   1.158,   0.987,   0.274,   4.844,   3.336,   0.927,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:11:647, 181098819169041,    0.890,   36.000, 3900,  39.852,  26.006,   7.224,  33.350,  20.528,   5.702, 90,  0,   1.882,   1.342,   0.373,   4.959,   4.270,   1.186,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:11:663, 181098857542435,    0.908,   13.000, 3900,  21.054,  26.372,   7.326,  15.172,  20.792,   5.775, 92,  0,   1.998,   1.376,   0.382,   4.966,   4.356,   1.210,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.907725
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 26.372253
Cumulative Processor Energy_0 (mWh) = 7.325626
Average Processor Power_0 (Watt) = 29.053133

Cumulative IA Energy_0 (Joules) = 20.791748
Cumulative IA Energy_0 (mWh) = 5.775486
Average IA Power_0 (Watt) = 22.905340

Cumulative DRAM Energy_0 (Joules) = 1.376404
Cumulative DRAM Energy_0 (mWh) = 0.382334
Average DRAM Power_0 (Watt) = 1.516323

Cumulative GT Energy_0 (Joules) = 4.355957
Cumulative GT Energy_0 (mWh) = 1.209988
Average GT Power_0 (Watt) = 4.798763
