System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:23:14:847, 181105884097187,    0.110,   22.000, 3900,  37.038,   4.085,   1.135,  30.793,   3.396,   0.943, 79,  0,   1.957,   0.216,   0.060,   4.718,   0.520,   0.145,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:14:972, 181106161221026,    0.236,   10.000, 3900,  22.612,   6.923,   1.923,  16.721,   5.495,   1.526, 79,  0,   1.285,   0.377,   0.105,   4.579,   1.095,   0.304,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:15:091, 181106421951711,    0.354,   18.000, 3900,  32.306,  10.738,   2.983,  26.310,   8.602,   2.389, 84,  0,   1.555,   0.561,   0.156,   4.717,   1.652,   0.459,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:15:201, 181106665892899,    0.464,   16.000, 3700,  28.771,  13.917,   3.866,  22.995,  11.142,   3.095, 97,  0,   1.339,   0.709,   0.197,   4.593,   2.159,   0.600,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:15:311, 181106908618628,    0.574,   16.000, 3900,  30.587,  17.279,   4.800,  24.667,  13.854,   3.848, 80,  0,   1.415,   0.864,   0.240,   4.602,   2.665,   0.740,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:15:421, 181107151194206,    0.684,   17.000, 3900,  29.622,  20.533,   5.704,  23.712,  16.459,   4.572, 93,  0,   1.352,   1.013,   0.281,   4.600,   3.171,   0.881,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:15:531, 181107393777312,    0.794,   10.000, 3900,  22.757,  23.034,   6.398,  16.887,  18.314,   5.087, 77,  0,   1.391,   1.166,   0.324,   4.569,   3.673,   1.020,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:15:700, 181107768383826,    0.964,   23.000, 3900,  31.842,  28.436,   7.899,  26.014,  22.728,   6.313, 82,  0,   2.140,   1.529,   0.425,   4.212,   4.387,   1.219,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:15:700, 181107771572621,    0.965,   13.000, 3900,  30.006,  28.479,   7.911,  32.373,  22.774,   6.326, 83,  0,   1.310,   1.531,   0.425,   4.226,   4.393,   1.220,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.965130
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 28.479187
Cumulative Processor Energy_0 (mWh) = 7.910885
Average Processor Power_0 (Watt) = 29.508130

Cumulative IA Energy_0 (Joules) = 22.774475
Cumulative IA Energy_0 (mWh) = 6.326243
Average IA Power_0 (Watt) = 23.597309

Cumulative DRAM Energy_0 (Joules) = 1.530518
Cumulative DRAM Energy_0 (mWh) = 0.425144
Average DRAM Power_0 (Watt) = 1.585815

Cumulative GT Energy_0 (Joules) = 4.393311
Cumulative GT Energy_0 (mWh) = 1.220364
Average GT Power_0 (Watt) = 4.552039
