System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
07:23:16:919, 181110459866465,    0.153,   25.000, 3600,  31.714,   4.852,   1.348,  25.392,   3.885,   1.079, 98,  0,   2.006,   0.307,   0.085,   4.846,   0.741,   0.206,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:17:033, 181110709897883,    0.266,   15.000, 3900,  27.486,   7.964,   2.212,  21.388,   6.307,   1.752, 86,  0,   1.641,   0.493,   0.137,   4.797,   1.284,   0.357,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:17:190, 181111057771978,    0.424,   13.000, 3900,  28.745,  12.493,   3.470,  22.284,   9.817,   2.727, 78,  0,   1.743,   0.767,   0.213,   5.059,   2.082,   0.578,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:17:324, 181111354241309,    0.558,   13.000, 3900,  24.883,  15.834,   4.398,  18.386,  12.286,   3.413, 78,  0,   1.484,   0.967,   0.269,   4.996,   2.752,   0.765,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:17:502, 181111745567001,    0.735,   34.000, 3900,  36.750,  22.347,   6.208,  30.031,  17.608,   4.891, 94,  0,   2.067,   1.333,   0.370,   5.085,   3.654,   1.015,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:17:611, 181111986391041,    0.844,   22.000, 3900,  35.130,  26.179,   7.272,  28.794,  20.749,   5.764, 96,  0,   1.833,   1.533,   0.426,   4.891,   4.187,   1.163,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:17:725, 181112238766408,    0.959,   18.000, 3900,  29.068,  29.501,   8.195,  22.177,  23.284,   6.468, 77,  0,   2.009,   1.763,   0.490,   5.210,   4.783,   1.328,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000
07:23:17:725, 181112240022215,    0.959,    8.000, 3900,  24.253,  29.515,   8.199,  22.107,  23.296,   6.471, 77,  0,   2.468,   1.764,   0.490,   4.722,   4.785,   1.329,  45.000,  78.000,   0.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 0.959216
Measured RDTSC Frequency (GHz) = 2.208

Cumulative Processor Energy_0 (Joules) = 29.515076
Cumulative Processor Energy_0 (mWh) = 8.198632
Average Processor Power_0 (Watt) = 30.769990

Cumulative IA Energy_0 (Joules) = 23.296326
Cumulative IA Energy_0 (mWh) = 6.471202
Average IA Power_0 (Watt) = 24.286833

Cumulative DRAM Energy_0 (Joules) = 1.763977
Cumulative DRAM Energy_0 (mWh) = 0.489994
Average DRAM Power_0 (Watt) = 1.838977

Cumulative GT Energy_0 (Joules) = 4.785278
Cumulative GT Energy_0 (mWh) = 1.329244
Average GT Power_0 (Watt) = 4.988738
